project,best_mop_time,best_test_count,best_violations_count
AAA-AA-basic-tools,15.426,8,0
ChannelFinder-javaCFClient,5.879,3,0
GreenButtonAlliance-OpenESPI-ThirdParty-java,21.077,30,0
Grundlefleck-ASM-NonClassloadingExtensions,57.691,12,0
ITArray-automotion-java,39.51,25,0
JetBrains-jetCheck,13.727,15,2
LiveRamp-HyperMinHash-java,107.288,2,1
OWASP-url-classifier,53.646,34,9
RUB-NDS-BurpSSOExtension,6.703,3,0
RokLenarcic-AhoCorasick,109.937,2,0
StarlangSoftware-TurkishMorphologicalAnalysis,98.872,29,0
StarlangSoftware-TurkishPropBank,32.555,6,0
StarlangSoftware-TurkishSentiNet,31.67,3,0
albfernandez-javadbf,22.305,63,2
alexheretic-dynamics,14.707,63,0
bvolpato-inutils4j,8.065,17,1
cheese10yun-spring-jpa-best-practices,93.554,11,7
cowtowncoder-java-uuid-generator,36.897,22,0
dakusui-jcunit,19.825,15,1
danieldk-dictomaton,111.674,82,24
davidmoten-hilbert-curve,24.643,24,3
davidmoten-sparse-hilbert-index,11.598,30,2
dernasherbrezon-jradio,71.398,200,27
eightbitjim-cassette-nibbler,141.407,7,2
f-lab-edu-real-time-delivery-market,68.582,4,0
f4b6a3-uuid-creator,19.971,54,0
flipkart-incubator-databuilderframework,112.415,24,3
fraunhoferfokus-Fuzzino,84.547,137,13
houbb-segment,24.664,10,1
houbb-sensitive-word,54.265,6,0
huaban-jieba-analysis,6.591,2,3
indeedeng-vowpal-wabbit-java,89.601,8,0
jahlborn-jackcess,188.309,180,30
lhncbc-metamaplite,15.02,18,0
mimno-Mallet,678.343,79,13
mocnik-science-geogrid,64.955,3,0
mojohaus-aspectj-maven-plugin,40.3,11,9
mojohaus-license-maven-plugin,23.376,33,4
nonblocking-nonsnapshot-maven-plugin,10.832,25,2
octavian-h-time-series-math,125.132,10,0
palindromicity-simple-syslog,26.721,23,3
pebbleblog-pebble,50.949,93,0
picturesafe-picturesafe-search,30.74,24,0
romix-java-concurrent-hash-trie-map,34.611,10,7
rythmengine-rythmengine,81.172,222,3
sangupta-bloomfilter,26.351,4,1
sbesada-java.math.expression.parser,330.281,8,0
stefano81-dcpabe,41.984,21,8
wiqer-ef-redis,52.113,4,0
wz2cool-mybatis-dynamic-query,24.959,50,7
