project,best_mop_time,best_test_count,best_violations_count
AAA-AA-basic-tools,27.763,8,0
ChannelFinder-javaCFClient,6.404,4,0
GreenButtonAlliance-OpenESPI-ThirdParty-java,20.982,9,0
Grundlefleck-ASM-NonClassloadingExtensions,106.348,11,0
ITArray-automotion-java,42.762,25,0
JetBrains-jetCheck,26.572,16,2
LiveRamp-HyperMinHash-java,85.408,2,1
OWASP-url-classifier,118.216,26,9
RUB-NDS-BurpSSOExtension,6.392,3,0
RokLenarcic-AhoCorasick,109.703,2,0
StarlangSoftware-TurkishMorphologicalAnalysis,281.629,26,0
StarlangSoftware-TurkishPropBank,103.339,6,0
StarlangSoftware-TurkishSentiNet,149.244,3,0
albfernandez-javadbf,21.308,62,2
alexheretic-dynamics,16.857,52,0
bvolpato-inutils4j,7.783,17,1
cheese10yun-spring-jpa-best-practices,101.554,8,7
cowtowncoder-java-uuid-generator,160.647,22,0
dakusui-jcunit,33.49,15,1
danieldk-dictomaton,253.564,100,24
davidmoten-hilbert-curve,75.186,22,3
davidmoten-sparse-hilbert-index,13.857,30,2
dernasherbrezon-jradio,94.702,200,27
eightbitjim-cassette-nibbler,590.858,7,2
f-lab-edu-real-time-delivery-market,76.152,4,0
f4b6a3-uuid-creator,21.701,54,0
flipkart-incubator-databuilderframework,216.649,23,3
fraunhoferfokus-Fuzzino,680.345,137,13
houbb-segment,53.509,9,1
houbb-sensitive-word,167.21,6,0
huaban-jieba-analysis,11.933,2,3
indeedeng-vowpal-wabbit-java,89.959,6,0
jahlborn-jackcess,853.371,180,30
lhncbc-metamaplite,16.218,16,0
mimno-Mallet,702.705,80,13
mocnik-science-geogrid,101.247,2,0
mojohaus-aspectj-maven-plugin,67.55,11,9
mojohaus-license-maven-plugin,23.117,29,4
nonblocking-nonsnapshot-maven-plugin,10.947,26,2
octavian-h-time-series-math,361.108,14,0
palindromicity-simple-syslog,15.193,15,3
pebbleblog-pebble,51.053,93,0
picturesafe-picturesafe-search,31.64,24,0
romix-java-concurrent-hash-trie-map,191.96,11,7
rythmengine-rythmengine,89.871,222,3
sangupta-bloomfilter,92.968,4,1
sbesada-java.math.expression.parser,3157.41,8,0
stefano81-dcpabe,44.631,19,8
wiqer-ef-redis,185.123,4,0
wz2cool-mybatis-dynamic-query,25.735,42,7
