project,mop,best
AAA-AA-basic-tools,41.774,26.292
ChannelFinder-javaCFClient,7.377,6.404
GreenButtonAlliance-OpenESPI-ThirdParty-java,21.901,21.096
Grundlefleck-ASM-NonClassloadingExtensions,302.481,107.47
ITArray-automotion-java,62.154,43.995
JetBrains-jetCheck,66.609,26.334
LiveRamp-HyperMinHash-java,334.019,85.564
OWASP-url-classifier,124.04,114.033
RUB-NDS-BurpSSOExtension,6.677,6.367
RokLenarcic-AhoCorasick,1550.051,85.572
StarlangSoftware-TurkishMorphologicalAnalysis,372.62,277.002
StarlangSoftware-TurkishPropBank,157.535,103.554
StarlangSoftware-TurkishSentiNet,291.669,126.781
albfernandez-javadbf,35.217,21.292
alexheretic-dynamics,19.855,16.559
bvolpato-inutils4j,8.828,7.709
cheese10yun-spring-jpa-best-practices,104.205,96.361
cowtowncoder-java-uuid-generator,159.429,164.683
dakusui-jcunit,2273.078,33.89
danieldk-dictomaton,375.388,233.582
davidmoten-hilbert-curve,76.369,75.04
davidmoten-sparse-hilbert-index,16.641,13.878
dernasherbrezon-jradio,343.548,95.516
eightbitjim-cassette-nibbler,1576.737,553.388
f-lab-edu-real-time-delivery-market,66.759,64.779
f4b6a3-uuid-creator,40.825,21.563
flipkart-incubator-databuilderframework,517.098,240.577
fraunhoferfokus-Fuzzino,1279.332,697.068
houbb-segment,70.866,53.228
houbb-sensitive-word,1417.137,181.157
huaban-jieba-analysis,174.457,11.911
indeedeng-vowpal-wabbit-java,3350.984,89.924
jahlborn-jackcess,849.193,809.444
lhncbc-metamaplite,17.091,15.917
mimno-Mallet,2423.171,1804.656
mocnik-science-geogrid,168.689,97.747
mojohaus-aspectj-maven-plugin,108.527,66.992
mojohaus-license-maven-plugin,24.098,22.921
nonblocking-nonsnapshot-maven-plugin,12.135,10.725
octavian-h-time-series-math,393.685,361.108
palindromicity-simple-syslog,72.667,54.364
pebbleblog-pebble,97.903,50.31
picturesafe-picturesafe-search,33.265,31.511
romix-java-concurrent-hash-trie-map,153.678,142.574
rythmengine-rythmengine,124.848,84.803
sangupta-bloomfilter,96.35,93.807
sbesada-java.math.expression.parser,3623.74,3527.32
stefano81-dcpabe,48.937,42.649
wiqer-ef-redis,211.405,188.206
wz2cool-mybatis-dynamic-query,26.602,25.674
