sha,test_time,test_status,ekstazi_time,ekstazi_status
1c8eee497d78db9fcaeeafe2a4616fa52b1263a4,2615,0,34133,0
9d95955952ebbd650f83b6f9505b9dea6ec49bcd,2565,0,32613,0
a10465805760163526227f07128276c511428fe2,2658,0,34097,0
52b38be449638673c3f96654ef73e0e623a261a1,2634,0,34087,0
ca540c899167dd591715dd09cf1eb14d51520bb9,2810,0,31424,0
63b4146edf355c32c150e06aed91d4758d92600f,2798,0,31927,0
3e70db0723d81c1327b39728f40bd45d627ac3ff,2624,0,32901,0
9239196a288230be611499d79faaa238495c920e,2798,0,38954,0
64450ebb43a4b65635414ea63b7c54499cd945ab,2940,0,41537,0
1cbfa35eb7badbec7a2c5af351498a7db4a452ba,2681,0,42378,0
af9f79d92ea3d637cda25ffccb06fe0c9912d8f0,2862,0,40732,0
a516ec692b83299efa1561d070e8d1ef5a4c58dc,2856,0,45615,0
16b9d23e3f22264fb41a77c0d61764838fe2a850,2882,0,41350,0
a3cd7c9ecd29b19dc7b5444f5edd9ef1ea849acd,3032,0,2872,0
945fbb8de3cb9ec4eef961660577a0b88e0a1440,2849,0,40808,0
56022074308305a62288797b1c55cdc4e3a5d22f,2689,0,38060,0
4d8d667e682d6e75628896fb7ea77c050dadb827,2890,0,41617,0
bbca52f96118e48ccfdfbaf91dbbd43a67a6df4b,3039,0,45872,0
414396946bac277afd7f04604438cc44ab14835c,2882,0,31963,0
ab12dcc1d520a32091b9eddd667586faf3793024,2821,0,41033,0
8961f0257c947ad628c70c7e12166ab34fcc4f70,3076,0,45381,0
b06da37f6ef8605666e291d3f4777038747d29d6,3226,0,47809,0
bbe905e863ee03763d6f52073b0fc076b3f6c94d,2954,0,41752,0
e250d4c23ac802af7c6fa7ce7bc90a92808f5e95,3000,0,2898,0
b10abf783ff8c9ce4834d451e12fd9bc73b5c5fc,2921,0,2843,0
3e70db0723d81c1327b39728f40bd45d627ac3ff,2656,0,31135,0
9239196a288230be611499d79faaa238495c920e,2928,0,37048,0
64450ebb43a4b65635414ea63b7c54499cd945ab,2641,0,33010,0
1cbfa35eb7badbec7a2c5af351498a7db4a452ba,2800,0,36448,0
af9f79d92ea3d637cda25ffccb06fe0c9912d8f0,3011,0,39903,0
a516ec692b83299efa1561d070e8d1ef5a4c58dc,2723,0,35207,0
16b9d23e3f22264fb41a77c0d61764838fe2a850,3167,0,36474,0
a3cd7c9ecd29b19dc7b5444f5edd9ef1ea849acd,2885,0,2943,0
945fbb8de3cb9ec4eef961660577a0b88e0a1440,2793,0,34906,0
56022074308305a62288797b1c55cdc4e3a5d22f,3042,0,36377,0
4d8d667e682d6e75628896fb7ea77c050dadb827,2948,0,39994,0
bbca52f96118e48ccfdfbaf91dbbd43a67a6df4b,3027,0,41887,0
414396946bac277afd7f04604438cc44ab14835c,2985,0,42897,0
ab12dcc1d520a32091b9eddd667586faf3793024,2973,0,44867,0
8961f0257c947ad628c70c7e12166ab34fcc4f70,2918,0,51713,0
b06da37f6ef8605666e291d3f4777038747d29d6,3105,0,45525,0
bbe905e863ee03763d6f52073b0fc076b3f6c94d,3040,0,46511,0
e250d4c23ac802af7c6fa7ce7bc90a92808f5e95,3009,0,2930,0
b10abf783ff8c9ce4834d451e12fd9bc73b5c5fc,3155,0,2864,0
ab12dcc1d520a32091b9eddd667586faf3793024,3046,0,42222,0
8961f0257c947ad628c70c7e12166ab34fcc4f70,3070,0,46009,0
b06da37f6ef8605666e291d3f4777038747d29d6,3012,0,44541,0
bbe905e863ee03763d6f52073b0fc076b3f6c94d,3271,0,44787,0
e250d4c23ac802af7c6fa7ce7bc90a92808f5e95,2981,0,2866,0
b10abf783ff8c9ce4834d451e12fd9bc73b5c5fc,2758,0,2909,0
