sha,test_time,test_status,ekstazi_time,ekstazi_status
6cbb3f6b76b7063e0cf71e51885afb022ff53acb,1937,0,136200,0
7c44c923c10715b8534b852796f5c11649a08224,1935,0,2893,0
69328c8f2a725192eadfeac07430d59b65449e6d,1940,0,2843,0
c472d45d7a55b6ede3bbe087ba79781afe81b449,1918,0,2895,0
86b227346da1d44ed9ce1725118a6a42800c460f,1796,0,2838,0
58f6bdabc33ec513aaf7c12385eb7ae870611c5b,2003,0,2852,0
9c11a59661694b1f809de55c543e26703163d41d,2009,0,2807,0
c7f22400a72ce61a1a2e5531d7733f3ced0e75a6,1758,0,2944,0
ba5b41e269dcba0b820c0bec74ab149867184889,2017,0,2806,0
bcd1dc8db6a98089635cf11c8911120617a17ff9,1964,0,135481,0
42524d1956ad6cbadf779cca984d4dbfd4c4160b,1928,0,2812,0
efe49e8fe72184d79953803724134ac35cf5c7fb,1952,0,2816,0
5a110fb4dbff5e18ba92b981c96b0b5b0338d493,2380,0,206078,0
708ae28c3b9b160cdd4864d75df671e37e09f57a,2379,0,204102,0
2fdba8f2139c063a528faca0a135f9400fb172a2,2468,0,234787,0
55fc729fb75a86d9022bdd065cb128d7fd90b15e,2531,0,89012,0
c5f63d1ff2ae86c6a8714fefe546a438fb0b3119,2485,0,228856,0
26ab38a0d533b95c51a40b49842454f5cf0f3819,2286,0,2835,0
d2cebb56f4fda1fb53416ac2791fe807932ef222,2371,0,369201,0
b3963ecd447bdc525a121c08957006fe9745bc94,2295,0,2790,0
1f83bd27d16b5894a855f7c45d24bb1193487ced,2531,0,301810,0
