sha,test_time,test_status,ekstazi_time,ekstazi_status
54783e78e400feca0f8815b546b48b698e7e42cf,16185,0,516604,0
8d69c15582370ef2a5cd21bf983d7bbd221d80d1,16434,0,1790,0
77b02e2d6681d008d3daab3839bf46b018d28a10,13150,0,529611,0
4960b46c11c2b62620331bcee873d109c5e2f385,1572,0,4338,0
78fc1d11358e4ca0d5878ae5795b6a0b943c9821,1616,0,23121,0
6f7fca417c2b3b4d243157a1b1c81aac42b0e48c,1546,0,14605,0
4be3bb811e7e28bc292c863776b235618021e0f5,1620,0,1819,0
04729fec3134b5238a0c0d0d439397337e9fd0aa,1586,0,13913,0
5320774e9ea50777df5e871c02600928acb514d7,1575,0,14911,0
ec20f2582d77865f27f2013c8dc7806d8bc20f26,1614,0,14616,0
93b675341873b98048219fa6e855ae137c3ece75,1606,0,1852,0
754f4eef5c70d55fbc909ac97077a9bd01e06725,1629,0,14877,0
e588a0a10124cd926b1a445dac9bdeefbbc5dd3d,1643,0,14626,0
64961b16b892a99475a82287e670cee8796efd47,1629,0,4332,0
d97a554b386ed9774ba114ad59cd054251264e44,1642,0,14693,0
077d2213338bffb121f380a2c9ff7c95337689e2,2016,0,22711,0
bcc0f708fbaf2749ff0e58aeb42415aa31acf2ba,1995,0,21697,0
298774c797ed2c77c132ea2fe93122577bc58262,1990,0,1952,0
c82a1004b7db3134a8982ce4429d2ffdbbc2f991,2012,0,22789,0
0dedb5036b275f9daeb614dc7b8756c0e9cfa2cd,1998,0,21636,0
3f40f5e3d1177789d9824f0bca001209197e7248,2072,0,27825,0
4b37147729f42eee98e926af7132a46ee27af18e,2071,0,27750,0
5147eda5f92eb6abaa3a1c50947f3c8d41e3a6cb,2081,0,27260,0
e9fe50749ba03f9667f1121ee19326f7ba608a8c,2089,0,25165,0
251295cc19daf60ad00562da02a834d7b29cd33f,2114,0,26124,0
534a1511f964ad61bb765f17f2267702a9096475,2152,0,31232,0
7f2a72340d201becb393ba5e40b56231078b9579,2569,0,42971,0
61d189fbed3499771e1f83963977b3a4b6e87970,2541,0,21763,0
763eccb046d377fdd2c043feee3d171140a96771,2512,0,15886,0
7f2a72340d201becb393ba5e40b56231078b9579,2620,0,22464,0
61d189fbed3499771e1f83963977b3a4b6e87970,2520,0,22477,0
763eccb046d377fdd2c043feee3d171140a96771,2586,0,15543,0
64961b16b892a99475a82287e670cee8796efd47,1635,0,15084,0
d97a554b386ed9774ba114ad59cd054251264e44,1670,0,13923,0
077d2213338bffb121f380a2c9ff7c95337689e2,1979,0,20898,0
bcc0f708fbaf2749ff0e58aeb42415aa31acf2ba,1987,0,20696,0
298774c797ed2c77c132ea2fe93122577bc58262,2006,0,1934,0
c82a1004b7db3134a8982ce4429d2ffdbbc2f991,1986,0,20200,0
0dedb5036b275f9daeb614dc7b8756c0e9cfa2cd,2000,0,24245,0
3f40f5e3d1177789d9824f0bca001209197e7248,2064,0,26472,0
4b37147729f42eee98e926af7132a46ee27af18e,2080,0,25440,0
5147eda5f92eb6abaa3a1c50947f3c8d41e3a6cb,2069,0,29190,0
e9fe50749ba03f9667f1121ee19326f7ba608a8c,2112,0,25036,0
251295cc19daf60ad00562da02a834d7b29cd33f,2113,0,27689,0
534a1511f964ad61bb765f17f2267702a9096475,2117,0,38281,0
7f2a72340d201becb393ba5e40b56231078b9579,2534,0,40906,0
61d189fbed3499771e1f83963977b3a4b6e87970,2586,0,25199,0
763eccb046d377fdd2c043feee3d171140a96771,2595,0,18134,0
