sha,test_time,test_status,ekstazi_time,ekstazi_status

cbb51e2d38cb1f67ef825285750fdde4062d4384,4382,0,62683,0
9102da6e7d1f917cb0764f577dfae20f4d2b2e05,4361,0,1536,0
1dee974c561f978e2e6610063c7d58b68fea8ecd,4319,0,1527,0
e0438f71b9de4273c30b923fe8e9931ea0692a92,4337,0,1523,0
884b179f403f14c78e2360abb3425b18725e2109,4359,0,3927,0
593ba0b4e532144f45c2ce0baab7400d8d450b61,4321,0,1522,0
b72776466042101cadd33fb95d47f0366dc2b561,4341,0,1530,0
4a8f6870744db3ec700dc011a09053ff51188adc,4378,0,1539,0
9495fd78229ed28e1adda28bf836e985e8a01868,4354,0,1520,0
