sha,test_time,test_status,reduced_javamop_time,reduced_javamop_status,reduced_emop_time,reduced_emop_status,reduced_imop_time,reduced_imop_status,redundant_test_time,redundant_test_status,reduced_partial_javamop_time,reduced_partial_javamop_status,redundant_partial_test_time,redundant_partial_test_status,all_javamop_time,all_javamop_status,all_emop_time,all_emop_status,all_imop_time,all_imop_status,all_rts_javamop_time,all_rts_javamop_status
1c8eee497d78db9fcaeeafe2a4616fa52b1263a4,2540,0,11892,0,17047,0,13141,0,2326,0,5072,0,2645,0,27867,0,34677,0,32217,0,31668,0
9d95955952ebbd650f83b6f9505b9dea6ec49bcd,2658,0,13480,0,15087,0,13027,0,2380,0,5040,0,2698,0,27022,0,31373,0,29182,0,31273,0
a10465805760163526227f07128276c511428fe2,2851,0,11499,0,14821,0,13289,0,2292,0,5165,0,2680,0,27710,0,26643,0,28665,0,31607,0
52b38be449638673c3f96654ef73e0e623a261a1,2749,0,13227,0,15452,0,13134,0,2303,0,5091,0,2707,0,27781,0,31742,0,26456,0,28285,0
ca540c899167dd591715dd09cf1eb14d51520bb9,2795,0,12645,0,13411,0,13659,0,2298,0,5198,0,2551,0,28683,0,26246,0,28482,0,31428,0
63b4146edf355c32c150e06aed91d4758d92600f,2668,0,13197,0,15525,0,11666,0,2283,0,4909,0,2655,0,29573,0,31417,0,27579,0,31270,0
3e70db0723d81c1327b39728f40bd45d627ac3ff,2662,0,12171,0,14083,0,13154,0,2345,0,5123,0,2582,0,28427,0,34227,0,26876,0,32346,0
9239196a288230be611499d79faaa238495c920e,2888,0,12651,0,16458,0,13709,0,2286,0,5157,0,2669,0,36262,0,31753,0,36143,0,33860,0
64450ebb43a4b65635414ea63b7c54499cd945ab,2723,0,14540,0,17283,0,12935,0,2319,0,5135,0,2987,0,31945,0,40281,0,30118,0,31619,0
1cbfa35eb7badbec7a2c5af351498a7db4a452ba,2810,0,14215,0,15886,0,11759,0,2359,0,5153,0,2883,0,39057,0,33610,0,32150,0,33164,0
af9f79d92ea3d637cda25ffccb06fe0c9912d8f0,2820,0,14507,0,13237,0,14962,0,2388,0,5121,0,2720,0,31244,0,32710,0,37394,0,40226,0
a516ec692b83299efa1561d070e8d1ef5a4c58dc,2973,0,14325,0,16982,0,15231,0,2454,0,5014,0,2790,0,36432,0,32367,0,32276,0,35940,0
16b9d23e3f22264fb41a77c0d61764838fe2a850,3041,0,13113,0,13881,0,14045,0,2416,0,5050,0,3008,0,32827,0,30114,0,37859,0,36546,0
a3cd7c9ecd29b19dc7b5444f5edd9ef1ea849acd,3014,0,14596,0,15159,0,13214,0,2399,0,5113,0,2961,0,38390,0,2015,0,35085,0,32353,0
945fbb8de3cb9ec4eef961660577a0b88e0a1440,2771,0,14760,0,15866,0,14272,0,2418,0,5094,0,2968,0,31802,0,36233,0,31290,0,30467,0
56022074308305a62288797b1c55cdc4e3a5d22f,2913,0,14585,0,13951,0,15093,0,2334,0,4973,0,2915,0,33135,0,32727,0,37671,0,36967,0
4d8d667e682d6e75628896fb7ea77c050dadb827,2886,0,12832,0,14680,0,14943,0,2325,0,4917,0,2848,0,34194,0,36139,0,33865,0,35229,0
