sha,test_time,test_status,reduced_javamop_time,reduced_javamop_status,reduced_emop_time,reduced_emop_status,reduced_imop_time,reduced_imop_status,redundant_test_time,redundant_test_status,reduced_partial_javamop_time,reduced_partial_javamop_status,redundant_partial_test_time,redundant_partial_test_status,all_javamop_time,all_javamop_status,all_emop_time,all_emop_status,all_imop_time,all_imop_status,all_rts_javamop_time,all_rts_javamop_status
4442624e225cc14dba4b414b20b67ea541b4ba95,13174,0,68906,0,85693,0,88682,0,8521,0,0,0,0,0,111053,0,121929,0,117787,0,105910,0
62355a23f8bcc59f4857de8f35ce3b73d94270a9,14007,0,79483,0,80747,0,75961,0,8470,0,0,0,0,0,110527,0,102760,0,118265,0,126119,0
655900b9a74d2496e3df5539483ab59e3fb31ea4,13165,0,71230,0,84708,0,77624,0,8517,0,0,0,0,0,114695,0,95103,0,119674,0,127483,0
86aad04d3a718019c96f1b4f2a0faa4f0487bf6e,13929,0,72231,0,74806,0,69800,0,8128,0,0,0,0,0,121074,0,103959,0,111658,0,122974,0
f7342c071455a2c2a8a34d1b874b780ab617c7bb,13553,0,94518,0,81260,0,96926,0,8562,0,0,0,0,0,124035,0,115635,0,115709,0,116912,0
7c2166a8f4606ea87853b815614b0940c6bbfdd6,13653,0,81833,0,86499,0,77521,0,8601,0,0,0,0,0,109956,0,116415,0,116743,0,110554,0
152744587cfb2584bdefbf1b51d4006f90966f49,13494,0,75297,0,85834,0,82527,0,9188,0,0,0,0,0,115085,0,112976,0,115934,0,112408,0
27f33facfb63a25dc66f977362711f8cfed09f88,13422,0,75458,0,85620,0,77178,0,8523,0,0,0,0,0,109009,0,2232,0,115640,0,121717,0
92ddd93c16ae60edc3ca4d51557aa78560a40992,13806,0,94551,0,85106,0,92737,0,8514,0,0,0,0,0,127302,0,114997,0,118689,0,126106,0
63081d6ba8fcbee6c968d0942db41ae7453ea930,13301,0,97837,0,87951,0,96748,0,8503,0,0,0,0,0,126127,0,124115,0,114722,0,124813,0
c56cf93d5cbe6925f4c25f9a94e28c8fd4554473,12830,0,102572,0,83290,0,103308,0,8469,0,0,0,0,0,126139,0,124150,0,124401,0,133653,0
01dff8457b4bf7916f77195652483d9a8513c731,13816,0,99100,0,86836,0,93522,0,8431,0,0,0,0,0,132258,0,2018,0,125372,0,128071,0
c131f28d6800f9322a50c4c33da350c3ca8f9dce,13260,0,104330,0,88574,0,86673,0,8474,0,0,0,0,0,116734,0,135119,0,125344,0,135482,0
ca1f7663eab36d7da4285cdac97a37ec467f3bd1,12967,0,101745,0,91248,0,107029,0,8475,0,0,0,0,0,129865,0,128619,0,120863,0,126052,0
6b0110720b8fe57f78bf4ca222a7f6dcb22f0756,13070,0,99796,0,85938,0,102052,0,8702,0,0,0,0,0,137051,0,125655,0,128066,0,132659,0
2a774b86a7414f4dd0336debbbf53809e6ca3b5d,16129,0,100010,0,90515,0,100272,0,10383,0,0,0,0,0,237050,0,237542,0,245949,0,238506,0
db0019c5d8d77a031d31b1dd4db8412ec0901bf0,15805,0,101524,0,94099,0,96758,0,11715,0,0,0,0,0,243311,0,251769,0,251414,0,235150,0
162d52fea6aaf1814955f7df5ed61dc7a4f4333c,15513,0,98446,0,88251,0,99528,0,11297,0,0,0,0,0,234057,0,239664,0,228771,0,255922,0
