sha,test_time,test_status,reduced_javamop_time,reduced_javamop_status,reduced_emop_time,reduced_emop_status,reduced_imop_time,reduced_imop_status,redundant_test_time,redundant_test_status,reduced_partial_javamop_time,reduced_partial_javamop_status,redundant_partial_test_time,redundant_partial_test_status,all_javamop_time,all_javamop_status,all_emop_time,all_emop_status,all_imop_time,all_imop_status,all_rts_javamop_time,all_rts_javamop_status
70884f17806b65c2a4b8acc8f2fabd6125ea94bf,1688,0,5981,0,9432,0,5919,0,2331,0,4728,0,2354,0,6332,0,9819,0,6562,0,7050,0
63b11acb1eb4b4fd374d947b344c3e60b7e80e36,1677,0,5878,0,6412,0,6018,0,2298,0,4766,0,2368,0,6202,0,6733,0,6376,0,7204,0
6cb9ef0d80e71e69fe764f5d8c389ed1d9ff71a2,1716,0,5931,0,5797,0,6062,0,2241,0,4796,0,2387,0,6273,0,5964,0,6459,0,7220,0
99357456eb969b9cc9b58f40b677e807097c155b,1683,0,5911,0,4783,0,6132,0,2300,0,4873,0,2359,0,6190,0,2139,0,6427,0,6926,0
568edb17fe0c1c379d233e1470a167a190b0dfec,1675,0,5894,0,4209,0,6036,0,2300,0,4722,0,2373,0,6187,0,4252,0,6393,0,6991,0
4eae3a52516a204e0b78fa5d2e505b2db7418e1f,1699,0,5947,0,6275,0,6068,0,1708,0,4929,0,1772,0,6275,0,6346,0,6457,0,7204,0
9cf55afef2d75511a38c3151e56472737481a70b,1714,0,5967,0,6213,0,6048,0,1707,0,4761,0,1774,0,6350,0,6275,0,6505,0,7281,0
b36c822b5d5393e7bcfbf66ffd49667719e01a70,1712,0,5853,0,6254,0,6215,0,1724,0,4777,0,1743,0,6332,0,6590,0,6562,0,7190,0
0282d3ab24fab32ce2199f55bf089e0fcb51a416,1678,0,5964,0,6413,0,6052,0,1707,0,4891,0,1748,0,6158,0,6679,0,6553,0,7200,0
46c9bfaed4158c9623e1113e8ade09a9b8e6b173,1688,0,5861,0,7162,0,6087,0,1697,0,4833,0,1750,0,6432,0,7863,0,6498,0,7233,0
e05ce19aed1a79fd703bdc5fe45ca59c2980ff69,1734,0,5800,0,7298,0,6061,0,1682,0,4797,0,1754,0,6273,0,7626,0,6461,0,7242,0
58e9e9e40f5e69441d9670204470f794e3cb9fc8,1697,0,5974,0,7251,0,6252,0,1734,0,4767,0,1767,0,6333,0,7432,0,6542,0,7397,0
9e4120fdaf7f7664f67c7fb550e551ec033a8e79,1674,0,6069,0,7032,0,6014,0,1745,0,4747,0,1764,0,6432,0,7327,0,6827,0,7121,0
788b61cb765508903e778f281a3bbe8452efb174,1679,0,5939,0,4054,0,6161,0,1717,0,4899,0,1797,0,6369,0,4351,0,6487,0,7037,0
bb62b496322732512316fa2f0ef06f9ff79c2fcf,1717,0,5957,0,6927,0,6183,0,1710,0,4809,0,1776,0,6416,0,6998,0,6661,0,7361,0
b9f7327549971089a72bb4f36e547757529ea69c,1706,0,5896,0,7965,0,6203,0,1736,0,4854,0,1781,0,6362,0,8218,0,6550,0,7278,0
00efff7d04d117d8eb343cc864e214589fee3a89,1709,0,5972,0,7264,0,6036,0,1701,0,4865,0,1807,0,6418,0,7743,0,6575,0,7264,0
bb854ee1364657e06933293cf324cd85bb0aa64a,1701,0,5929,0,5918,0,6129,0,1810,0,4698,0,1752,0,6409,0,2218,0,6545,0,7223,0
1950b4d7e7166292560618588150f3e5e764815a,1721,0,5976,0,8477,0,6183,0,1748,0,4962,0,1790,0,6656,0,10203,0,7166,0,7390,0
a6769045115312eb4578f6de8516ad631b1ed843,1717,0,6027,0,7117,0,6012,0,1775,0,5035,0,1802,0,6427,0,7484,0,7151,0,7325,0
ff7c0760e825b25f885c480312823c0155fdf181,1786,0,6043,0,6024,0,6540,0,1729,0,4975,0,1775,0,6342,0,2157,0,6665,0,7602,0
f709e82778f480792aaf2004751f126fe6c86749,1723,0,6032,0,7245,0,6279,0,1746,0,4977,0,1768,0,6469,0,7720,0,6626,0,7307,0
fee95240b822be8b29ebb6148667073dfd2fff3c,1741,0,5944,0,7290,0,6530,0,1741,0,4920,0,1780,0,6488,0,7430,0,7083,0,7380,0
06a913a05bdd7298354e02402d29394e4958859d,1775,0,6033,0,6647,0,6189,0,1758,0,4913,0,1785,0,6447,0,6915,0,6704,0,7325,0
c378f58d773980f7b10e501a4f2ae061cf2d65d8,1729,0,6087,0,7415,0,6215,0,1716,0,4925,0,1813,0,6540,0,7655,0,6689,0,7396,0
d196a39db1693ca31338fc37209ad583af3c9ffd,1757,0,5998,0,4146,0,6259,0,1749,0,4943,0,1889,0,6658,0,4367,0,6902,0,7438,0
0d2b022cb606c36065a6e81d2a6057d62e7be036,1743,0,6050,0,7206,0,6179,0,1771,0,4949,0,1813,0,6580,0,7616,0,6931,0,7469,0
271f83966b02314573857c5535bf199465fad037,1790,0,6107,0,7283,0,6176,0,1822,0,4850,0,1849,0,6718,0,7621,0,7025,0,7947,0
f4f03bd72ae014f96c213faa6f28df5d1835b669,1790,0,5976,0,4144,0,6064,0,1813,0,4800,0,1839,0,6753,0,4399,0,7325,0,7533,0
49f16ccc6681202fc4b9df30d560dfa667a17cf4,1770,0,6028,0,7269,0,6149,0,1791,0,4971,0,1884,0,6797,0,7825,0,7526,0,7554,0
aef1fe983b578df426349ee701ca9abd96f64e27,5368,0,6008,0,4278,0,6181,0,5424,0,4997,0,5444,0,31186,0,8672,0,32180,0,32273,0
66f7f4d13c3b61d950d55ae2a472fda919a98856,5374,0,6043,0,7148,0,6195,0,5417,0,4926,0,5458,0,31956,0,32138,0,31231,0,32477,0
1358a7c5175bc42a7b4870254acbc781af7b4d97,5365,0,5897,0,6036,0,6486,0,5373,0,4877,0,5484,0,31318,0,2171,0,31584,0,32433,0
369700422c70deb875d010e7d1e0987d5b87c678,5413,0,6048,0,7196,0,6241,0,5406,0,4885,0,5493,0,31252,0,32099,0,32252,0,31978,0
4a7ee74396ec83b17aa01a328cb9a645b697b532,5364,0,6067,0,6034,0,6160,0,5392,0,4853,0,5455,0,31449,0,2241,0,31467,0,31940,0
c6c689214ed342a0a94fd9aab1243b44c1d7eb4f,5251,0,6160,0,7454,0,6320,0,5335,0,4946,0,5265,0,31586,0,31765,0,32033,0,31715,0
2e4f5e4ce99b64e30b398d7053022aa13eeed0ec,5228,0,6103,0,7123,0,6201,0,5290,0,4925,0,5350,0,31074,0,30661,0,31131,0,32004,0
0c02b5fc159cea0d47ebe283b67f9fffec382b81,5176,0,6096,0,7429,0,6288,0,5284,0,4854,0,5272,0,30783,0,31515,0,31416,0,32087,0
e92dd939d825afc6c391bbed0f6280dcf5ea2bce,5255,0,6169,0,4392,0,6327,0,5256,0,5042,0,5335,0,31132,0,8033,0,31806,0,31579,0
b47761e3dff0e34431e3f77cdb86118e80d3fbad,5191,0,6130,0,5737,0,6401,0,5275,0,4875,0,5294,0,30927,0,29904,0,32199,0,32228,0
08296e000264cb4f48186e985920356d74d87252,5234,0,6147,0,7281,0,6296,0,5364,0,4981,0,5252,0,31405,0,31545,0,31333,0,32225,0
7e291224fc03fd7e5db3c1c9a776f7e095f0a7cd,5222,0,6152,0,8226,0,6395,0,5248,0,4959,0,5252,0,30525,0,33286,0,32724,0,32227,0
62a0e9cdcded13f7a2e043c9dc6bf576f27f941d,5183,0,6428,0,7685,0,6649,0,5274,0,4954,0,5260,0,30855,0,32257,0,31029,0,31759,0
c3c0ce9aef90a47e6afd2ccd0306b720350448f6,5202,0,6277,0,7779,0,6587,0,5263,0,5025,0,5265,0,31322,0,31922,0,31432,0,32072,0
5e0183094bb07bfb0712873dae576627a53e9c3b,5219,0,6466,0,7550,0,6766,0,5223,0,5002,0,5330,0,31250,0,31784,0,31492,0,31729,0
651e7efbb58efd590b301e09f83584602649ba35,5172,0,6487,0,4482,0,6622,0,5248,0,4986,0,5279,0,31495,0,27940,0,31190,0,32079,0
