sha,test_time,test_status,reduced_javamop_time,reduced_javamop_status,reduced_emop_time,reduced_emop_status,reduced_imop_time,reduced_imop_status,redundant_test_time,redundant_test_status,reduced_partial_javamop_time,reduced_partial_javamop_status,redundant_partial_test_time,redundant_partial_test_status,all_javamop_time,all_javamop_status,all_emop_time,all_emop_status,all_imop_time,all_imop_status,all_rts_javamop_time,all_rts_javamop_status
6cbb3f6b76b7063e0cf71e51885afb022ff53acb,1936,0,52650,0,53715,0,46289,0,1609,0,28477,0,1847,0,131862,0,125058,0,118972,0,124210,0
7c44c923c10715b8534b852796f5c11649a08224,1906,0,50449,0,51226,0,44798,0,1578,0,29201,0,1838,0,116907,0,116864,0,122490,0,121512,0
69328c8f2a725192eadfeac07430d59b65449e6d,2021,0,52357,0,49861,0,53388,0,1744,0,29716,0,1839,0,123481,0,118557,0,123792,0,123692,0
c472d45d7a55b6ede3bbe087ba79781afe81b449,2027,0,46340,0,49745,0,52677,0,1807,0,32639,0,1721,0,126645,0,119758,0,125353,0,123702,0
86b227346da1d44ed9ce1725118a6a42800c460f,1939,0,45073,0,48990,0,57647,0,1775,0,29546,0,1851,0,129202,0,118000,0,132307,0,127585,0
58f6bdabc33ec513aaf7c12385eb7ae870611c5b,1857,0,51513,0,47736,0,53806,0,1844,0,29732,0,1871,0,121514,0,122531,0,119325,0,124279,0
9c11a59661694b1f809de55c543e26703163d41d,1955,0,54645,0,47762,0,52779,0,1803,0,28588,0,1836,0,120614,0,129595,0,122755,0,126178,0
c7f22400a72ce61a1a2e5531d7733f3ced0e75a6,1934,0,44174,0,46021,0,53040,0,1768,0,28840,0,1800,0,129249,0,124625,0,125078,0,124131,0
ba5b41e269dcba0b820c0bec74ab149867184889,1966,0,43635,0,49680,0,50771,0,1780,0,29060,0,1860,0,120711,0,120671,0,115869,0,123326,0
bcd1dc8db6a98089635cf11c8911120617a17ff9,1934,0,43512,0,50068,0,55536,0,1726,0,29012,0,1832,0,122566,0,126397,0,128395,0,120970,0
42524d1956ad6cbadf779cca984d4dbfd4c4160b,1878,0,52202,0,51877,0,52442,0,1730,0,28573,0,1833,0,125949,0,126634,0,130869,0,125956,0
efe49e8fe72184d79953803724134ac35cf5c7fb,1933,0,42314,0,54365,0,52210,0,1830,0,31528,0,1812,0,126150,0,123320,0,122552,0,123477,0
5a110fb4dbff5e18ba92b981c96b0b5b0338d493,2410,0,54281,0,52465,0,53357,0,2176,0,29791,0,2271,0,298669,0,272418,0,288634,0,286988,0
708ae28c3b9b160cdd4864d75df671e37e09f57a,2399,0,51358,0,49851,0,50376,0,2224,0,28608,0,2262,0,296800,0,276666,0,271745,0,276665,0
2fdba8f2139c063a528faca0a135f9400fb172a2,2480,0,52422,0,50038,0,53083,0,2296,0,29761,0,2370,0,341085,0,301388,0,312803,0,313479,0
55fc729fb75a86d9022bdd065cb128d7fd90b15e,2471,0,52394,0,49683,0,51100,0,2302,0,29114,0,2356,0,328653,0,317383,0,312451,0,327637,0
c5f63d1ff2ae86c6a8714fefe546a438fb0b3119,2542,0,52198,0,47000,0,54300,0,2272,0,32291,0,2195,0,332881,0,320292,0,305448,0,299297,0
26ab38a0d533b95c51a40b49842454f5cf0f3819,2492,0,53558,0,53433,0,46046,0,2273,0,30519,0,2356,0,333128,0,322880,0,307987,0,331206,0
d2cebb56f4fda1fb53416ac2791fe807932ef222,2404,0,53807,0,56363,0,51659,0,2264,0,28781,0,2351,0,329437,0,315277,0,301264,0,347671,0
b3963ecd447bdc525a121c08957006fe9745bc94,2535,0,51752,0,53925,0,55379,0,2267,0,29801,0,2390,0,336231,0,343180,0,344857,0,309357,0
1f83bd27d16b5894a855f7c45d24bb1193487ced,2505,0,52575,0,48102,0,49774,0,2287,0,29240,0,2357,0,300977,0,312228,0,328122,0,329662,0
