sha,test_time,test_status,reduced_javamop_time,reduced_javamop_status,reduced_emop_time,reduced_emop_status,reduced_imop_time,reduced_imop_status,redundant_test_time,redundant_test_status,reduced_partial_javamop_time,reduced_partial_javamop_status,redundant_partial_test_time,redundant_partial_test_status,all_javamop_time,all_javamop_status,all_emop_time,all_emop_status,all_imop_time,all_imop_status,all_rts_javamop_time,all_rts_javamop_status
54783e78e400feca0f8815b546b48b698e7e42cf,12803,0,463470,0,454325,0,482363,0,1581,0,280204,0,5180,0,456738,0,459835,0,470072,0,463040,0
8d69c15582370ef2a5cd21bf983d7bbd221d80d1,12861,0,472602,0,437327,0,435259,0,1580,0,274925,0,5199,0,505512,0,2322,0,463855,0,478699,0
77b02e2d6681d008d3daab3839bf46b018d28a10,12762,0,474469,0,473728,0,486109,0,1602,0,289956,0,5197,0,437752,0,446295,0,435620,0,473248,0
4960b46c11c2b62620331bcee873d109c5e2f385,1571,0,15990,0,15206,0,16486,0,1601,0,2852,0,1587,0,14454,0,13819,0,14734,0,17327,0
78fc1d11358e4ca0d5878ae5795b6a0b943c9821,1622,0,16250,0,16261,0,14703,0,1679,0,2846,0,1653,0,15089,0,17083,0,16433,0,18038,0
6f7fca417c2b3b4d243157a1b1c81aac42b0e48c,1588,0,9514,0,13648,0,11614,0,1669,0,2884,0,1607,0,11166,0,12780,0,12333,0,11878,0
4be3bb811e7e28bc292c863776b235618021e0f5,1548,0,9619,0,11421,0,10585,0,1598,0,2907,0,1605,0,10032,0,2361,0,11334,0,14256,0
04729fec3134b5238a0c0d0d439397337e9fd0aa,1588,0,11157,0,9910,0,11021,0,1596,0,2848,0,1631,0,11913,0,11604,0,10878,0,12971,0
5320774e9ea50777df5e871c02600928acb514d7,1572,0,9412,0,9964,0,10854,0,1596,0,2862,0,1615,0,12311,0,10782,0,12285,0,13766,0
ec20f2582d77865f27f2013c8dc7806d8bc20f26,1608,0,9818,0,4711,0,10691,0,1604,0,2821,0,1591,0,11584,0,4669,0,11283,0,11377,0
93b675341873b98048219fa6e855ae137c3ece75,1613,0,11415,0,3324,0,9396,0,1615,0,2927,0,1612,0,9710,0,2449,0,11483,0,11089,0
754f4eef5c70d55fbc909ac97077a9bd01e06725,1629,0,12193,0,13340,0,13362,0,1653,0,2653,0,1647,0,14696,0,14094,0,13654,0,14347,0
e588a0a10124cd926b1a445dac9bdeefbbc5dd3d,1648,0,10188,0,12625,0,11676,0,1704,0,2874,0,1673,0,12661,0,13000,0,14578,0,14103,0
64961b16b892a99475a82287e670cee8796efd47,1643,0,10497,0,11299,0,13976,0,1669,0,2819,0,1670,0,12416,0,12228,0,14691,0,17159,0
d97a554b386ed9774ba114ad59cd054251264e44,1641,0,14894,0,12337,0,14596,0,1712,0,2881,0,1655,0,12826,0,14530,0,12041,0,13934,0
077d2213338bffb121f380a2c9ff7c95337689e2,1989,0,11701,0,15075,0,11873,0,2028,0,2889,0,2040,0,16589,0,18049,0,21132,0,17823,0
bcc0f708fbaf2749ff0e58aeb42415aa31acf2ba,1993,0,13896,0,15140,0,11892,0,1998,0,2713,0,2008,0,18761,0,18684,0,21255,0,20496,0
298774c797ed2c77c132ea2fe93122577bc58262,2031,0,11686,0,12710,0,13475,0,2005,0,2896,0,2035,0,18371,0,2572,0,20055,0,18437,0
c82a1004b7db3134a8982ce4429d2ffdbbc2f991,2020,0,11732,0,15265,0,14655,0,2021,0,2928,0,2036,0,17428,0,20430,0,17784,0,19901,0
0dedb5036b275f9daeb614dc7b8756c0e9cfa2cd,1986,0,13340,0,15817,0,14604,0,2032,0,2898,0,2015,0,17379,0,18032,0,19412,0,21833,0
3f40f5e3d1177789d9824f0bca001209197e7248,2069,0,12341,0,14964,0,13014,0,2118,0,2879,0,2129,0,27081,0,29792,0,25823,0,30320,0
4b37147729f42eee98e926af7132a46ee27af18e,2082,0,11752,0,15014,0,11835,0,2115,0,2768,0,2148,0,26927,0,30986,0,26061,0,30716,0
5147eda5f92eb6abaa3a1c50947f3c8d41e3a6cb,2096,0,13622,0,13071,0,13807,0,2103,0,2884,0,2081,0,28040,0,26036,0,26557,0,29130,0
e9fe50749ba03f9667f1121ee19326f7ba608a8c,2135,0,12250,0,16079,0,13192,0,2137,0,2810,0,2123,0,26601,0,31298,0,25353,0,28781,0
251295cc19daf60ad00562da02a834d7b29cd33f,2159,0,16321,0,16173,0,13294,0,2152,0,2894,0,2169,0,27629,0,28887,0,26867,0,26108,0
534a1511f964ad61bb765f17f2267702a9096475,2216,0,13369,0,15180,0,15389,0,2142,0,2964,0,2168,0,27392,0,29164,0,23519,0,29369,0
7f2a72340d201becb393ba5e40b56231078b9579,2545,0,11699,0,16200,0,11780,0,2578,0,2179,0,2617,0,33344,0,33412,0,30441,0,33065,0
61d189fbed3499771e1f83963977b3a4b6e87970,2568,0,12416,0,13645,0,13333,0,2592,0,2163,0,2555,0,35460,0,37838,0,32239,0,34525,0
763eccb046d377fdd2c043feee3d171140a96771,2519,0,11794,0,15920,0,11803,0,2562,0,2176,0,2543,0,33758,0,36740,0,33053,0,33997,0
7f2a72340d201becb393ba5e40b56231078b9579,2508,0,11677,0,17279,0,12921,0,2545,0,2178,0,2577,0,33637,0,34540,0,32774,0,36848,0
61d189fbed3499771e1f83963977b3a4b6e87970,2523,0,11729,0,15872,0,11971,0,2588,0,2166,0,2554,0,29911,0,37323,0,30559,0,32398,0
763eccb046d377fdd2c043feee3d171140a96771,2550,0,11638,0,16329,0,12120,0,2558,0,2171,0,2618,0,31190,0,36100,0,33803,0,36865,0
64961b16b892a99475a82287e670cee8796efd47,1659,0,12346,0,15856,0,12506,0,1663,0,2827,0,1665,0,12633,0,15049,0,13526,0,14117,0
d97a554b386ed9774ba114ad59cd054251264e44,1628,0,14210,0,11831,0,14307,0,1668,0,2892,0,1665,0,12671,0,14928,0,12903,0,15967,0
077d2213338bffb121f380a2c9ff7c95337689e2,2029,0,11640,0,16051,0,12111,0,2038,0,2861,0,2033,0,21232,0,17933,0,18685,0,19602,0
bcc0f708fbaf2749ff0e58aeb42415aa31acf2ba,2001,0,11833,0,14024,0,12980,0,2049,0,2738,0,2021,0,16764,0,17234,0,18056,0,19228,0
298774c797ed2c77c132ea2fe93122577bc58262,2000,0,14316,0,15496,0,17346,0,2017,0,2852,0,2069,0,16917,0,2544,0,21991,0,20027,0
c82a1004b7db3134a8982ce4429d2ffdbbc2f991,1999,0,13070,0,16850,0,13133,0,2038,0,2840,0,2056,0,17575,0,20951,0,19196,0,19237,0
0dedb5036b275f9daeb614dc7b8756c0e9cfa2cd,1982,0,16308,0,15733,0,13491,0,2025,0,2925,0,2012,0,20492,0,21158,0,22209,0,19940,0
3f40f5e3d1177789d9824f0bca001209197e7248,2069,0,11644,0,15081,0,12682,0,2124,0,2888,0,2103,0,27050,0,30847,0,23826,0,30222,0
4b37147729f42eee98e926af7132a46ee27af18e,2129,0,12000,0,14894,0,13989,0,2102,0,2887,0,2098,0,27236,0,28207,0,25624,0,28671,0
5147eda5f92eb6abaa3a1c50947f3c8d41e3a6cb,2082,0,12080,0,13208,0,12278,0,2179,0,2848,0,2101,0,26078,0,27504,0,26602,0,29449,0
e9fe50749ba03f9667f1121ee19326f7ba608a8c,2118,0,11965,0,19439,0,15470,0,2113,0,2797,0,2136,0,27971,0,31241,0,25844,0,30285,0
251295cc19daf60ad00562da02a834d7b29cd33f,2166,0,12148,0,20207,0,14852,0,2217,0,2766,0,2222,0,24459,0,32224,0,27427,0,29990,0
534a1511f964ad61bb765f17f2267702a9096475,2185,0,13557,0,16790,0,15045,0,2224,0,2905,0,2159,0,26285,0,27910,0,27910,0,26873,0
7f2a72340d201becb393ba5e40b56231078b9579,2544,0,11729,0,17936,0,14120,0,2566,0,2159,0,2588,0,32243,0,32981,0,32714,0,34690,0
61d189fbed3499771e1f83963977b3a4b6e87970,2552,0,11637,0,15741,0,14828,0,2568,0,2191,0,2546,0,32869,0,37675,0,31393,0,32229,0
763eccb046d377fdd2c043feee3d171140a96771,2604,0,11699,0,16752,0,11900,0,2592,0,2191,0,2598,0,33308,0,36494,0,33149,0,34572,0
