sha,test_time,test_status,reduced_javamop_time,reduced_javamop_status,reduced_emop_time,reduced_emop_status,reduced_imop_time,reduced_imop_status,redundant_test_time,redundant_test_status,reduced_partial_javamop_time,reduced_partial_javamop_status,redundant_partial_test_time,redundant_partial_test_status,all_javamop_time,all_javamop_status,all_emop_time,all_emop_status,all_imop_time,all_imop_status,all_rts_javamop_time,all_rts_javamop_status
0f575248883236a9c66119e78bbdc49e74bfdba2,1395,0,5637,0,9934,0,6453,0,1386,0,0,0,0,0,6291,0,9321,0,6671,0,7448,0
f403aa4b8629812db3f2a74958094c6074a6fb07,1375,0,5618,0,6650,0,5702,0,1404,0,0,0,0,0,6416,0,2211,0,6570,0,7119,0
4e169da8187928a78b9f52334370e95cee27b2cc,1384,0,5718,0,8445,0,5637,0,1370,0,0,0,0,0,6304,0,10597,0,6713,0,7665,0
98374a1da25c2751b294ee65fc2deb7a7e92aaf2,1368,0,6859,0,6974,0,5855,0,1413,0,0,0,0,0,6363,0,7032,0,6611,0,7313,0
0f9d2bece653d193296cffd940793674960de0d6,1308,0,5013,0,8820,0,5123,0,1299,0,0,0,0,0,5427,0,9178,0,5736,0,6592,0
81d13994049456986a499a238a76e2ebb8cb0821,1234,0,4846,0,6666,0,5190,0,1262,0,0,0,0,0,5346,0,6583,0,5659,0,6645,0
fa9348d55d983c1dab0e8dca3c2c95b3cfbe0e10,1233,0,5557,0,8198,0,5653,0,1298,0,0,0,0,0,6258,0,8742,0,6395,0,7593,0
2128d6c7578c571f1861409c21e6aae2d7622596,1238,0,6218,0,7123,0,6030,0,1290,0,0,0,0,0,6549,0,7100,0,7713,0,7616,0
579a98c6a7463fbafd21583970612b548124d508,1293,0,7503,0,7380,0,6807,0,1302,0,0,0,0,0,6834,0,7384,0,7077,0,8178,0
e1af58640343ecbf8ebbfbb15053c6e356eed447,1269,0,6536,0,5946,0,7655,0,1311,0,0,0,0,0,6946,0,2277,0,8179,0,8055,0
3c41f4e60d96eaee8acb2235cceafb0a6a4cb262,1358,0,6358,0,7290,0,7429,0,1316,0,0,0,0,0,6641,0,7324,0,7920,0,8174,0
dcd15522663915903f3a538f201b14e76a03eb21,1299,0,6534,0,6760,0,7408,0,1336,0,0,0,0,0,6902,0,6888,0,8461,0,8141,0
98a58450ffb1decab4c6dd07a814ce336a21b6fa,1328,0,6595,0,9461,0,6623,0,1349,0,0,0,0,0,7057,0,9953,0,7196,0,8240,0
0dd5fb28e1b27a2b935bfde2df48e2fd55095e2a,1317,0,8121,0,10477,0,7602,0,1373,0,0,0,0,0,8180,0,9615,0,9203,0,8383,0
