sha,test_time,test_status,reduced_javamop_time,reduced_javamop_status,reduced_emop_time,reduced_emop_status,reduced_imop_time,reduced_imop_status,redundant_test_time,redundant_test_status,reduced_partial_javamop_time,reduced_partial_javamop_status,redundant_partial_test_time,redundant_partial_test_status,all_javamop_time,all_javamop_status,all_emop_time,all_emop_status,all_imop_time,all_imop_status,all_rts_javamop_time,all_rts_javamop_status
3ec44e7ec983b5a768f42f8b0b736b7f316a1cf7,2202,0,7451,0,10856,0,7549,0,2215,0,0,0,0,0,9541,0,12844,0,9825,0,10406,0
994356358ac9a79867c537877e2fdc75e5f150e9,2211,0,7577,0,9235,0,7539,0,2210,0,0,0,0,0,9070,0,10794,0,9768,0,10355,0
ca5ec8f3ecef41524860726d908de98e2b4d2bd7,11507,0,7578,0,8882,0,7548,0,11884,0,0,0,0,0,453303,0,452048,0,455726,0,467767,0
dd33b10de4d7f9c168b46b808ce4f8f8bd968209,11598,0,7779,0,9101,0,7738,0,11880,0,0,0,0,0,470516,0,479408,0,487815,0,494171,0
a317a6da0459a55c0add40d5350d7f442cc5cdb2,11713,0,7877,0,9414,0,8111,0,12005,0,0,0,0,0,481761,0,451735,0,459205,0,457302,0
3a0de75f8ac30793b8d5e436724e96b69aa9bc52,11594,0,7617,0,8973,0,7574,0,11910,0,0,0,0,0,462754,0,460292,0,466516,0,466498,0
9534a78b9621787cf139146c16331ee1155b1d16,11553,0,7633,0,8940,0,7646,0,11859,0,0,0,0,0,468802,0,457886,0,454863,0,458588,0
6bae6ca3ad4c75e3baed13fb6b153829d7e74dab,12736,0,7599,0,8914,0,7526,0,12973,0,0,0,0,0,505705,0,499050,0,507288,0,501412,0
a559e1c7b7501a89205ecdeed4dfbe7f59401486,12995,0,9862,0,11683,0,9810,0,13133,0,0,0,0,0,509154,0,502754,0,500579,0,509674,0
a7ec29a09e60806e44b24a2f28e61bf6b4119db3,13368,0,9915,0,12667,0,9912,0,13625,0,0,0,0,0,525560,0,531370,0,525571,0,530729,0
e6487e17818416dc1d7050cced528515795e8ea4,13303,0,9542,0,10342,0,9571,0,13491,0,0,0,0,0,527204,0,520463,0,517873,0,526806,0
1f7c763124bf7f059eafdbaa4da485e06fd7ec21,13392,0,9790,0,10296,0,9887,0,13569,0,0,0,0,0,522132,0,515490,0,535899,0,521514,0
5e47d211b0932f16dec42e57a227e11c9e9295ec,13219,0,9714,0,10318,0,9398,0,13600,0,0,0,0,0,534009,0,527261,0,537625,0,531266,0
6954ee65a67146aef022d1de641794dee509d6da,13953,0,7570,0,8946,0,7742,0,14125,0,0,0,0,0,515487,0,503755,0,505016,0,501378,0
be099cbb285b839f38b20f6244005a734af85e5b,3295,0,6491,0,8105,0,6661,0,3340,0,0,0,0,0,55113,0,53309,0,56673,0,57433,0
47303c63ff8bd530b7b1ea9bfa2dc98352393697,4811,0,6391,0,8083,0,6578,0,4897,0,0,0,0,0,84988,0,85946,0,83962,0,85870,0
c45ad87daa51285aec3c284c353546dcf323bf56,4847,0,6494,0,8415,0,6586,0,4878,0,0,0,0,0,85555,0,88504,0,83831,0,86509,0
