sha,test_time,test_status,reduced_javamop_time,reduced_javamop_status,reduced_emop_time,reduced_emop_status,reduced_imop_time,reduced_imop_status,redundant_test_time,redundant_test_status,reduced_partial_javamop_time,reduced_partial_javamop_status,redundant_partial_test_time,redundant_partial_test_status,all_javamop_time,all_javamop_status,all_emop_time,all_emop_status,all_imop_time,all_imop_status,all_rts_javamop_time,all_rts_javamop_status
2f90181f386948b6bea3be7bd1a4c6d85962d42a,3654,0,21835,0,25151,0,22707,0,1654,0,0,0,0,0,39481,0,43634,0,23497,0,23424,0
2a3c92b8dba0ac4ec6b83da7669bbb20d09f5268,1673,0,21826,0,4359,0,22590,0,1679,0,0,0,0,0,25663,0,10424,0,24735,0,23668,0
c2fa911b7690edfa9c379063c8f550301331cfe6,1648,0,21763,0,12875,0,22952,0,1674,0,0,0,0,0,33748,0,13134,0,23409,0,23761,0
99469303cb46fd32418235d30c528ac960d0deb7,1678,0,21839,0,4346,0,26216,0,3784,0,0,0,0,0,26938,0,4416,0,23483,0,23699,0
77f71a8abfa3ad9cc334f649baebe95c6b9a7451,1643,0,21893,0,3133,0,34222,0,1770,0,0,0,0,0,22713,0,2176,0,23612,0,23710,0
cd7e52a547b187dd762aacc563fd580cd2258cc0,1653,0,21502,0,4328,0,22660,0,1672,0,0,0,0,0,23779,0,4447,0,23485,0,38018,0
dffe3f09faeb41d72c924abd4679ac845ed62987,1640,0,21816,0,11501,0,22719,0,1686,0,0,0,0,0,22579,0,12045,0,23724,0,23873,0
14e4619a8edb439ca916d3c76df6f3657c3fdd46,2578,0,23936,0,20575,0,22674,0,2799,0,0,0,0,0,36422,0,24489,0,37313,0,54552,0
8ffb32ebfc8108a9235b2691b890b99f2075591e,2578,0,21664,0,10686,0,39251,0,5066,0,0,0,0,0,36692,0,24496,0,37068,0,53063,0
a3651a88f74e777df60de2a0deb1fa90ef14a677,2653,0,21696,0,4510,0,22589,0,2831,0,0,0,0,0,52090,0,5382,0,36086,0,37530,0
9064563ec7a23bdea9a3e5be3c62c68df1b789ae,2588,0,21689,0,4361,0,22705,0,3919,0,0,0,0,0,44880,0,5525,0,35972,0,37374,0
27f23b6e02e8d761c59137df7a8ee28ff0dc0dde,2553,0,21827,0,4396,0,24559,0,5583,0,0,0,0,0,41641,0,5542,0,37485,0,36372,0
a90fc406346798a78433c3f8c3aedf60db8b6d04,2616,0,21693,0,24193,0,22758,0,2770,0,0,0,0,0,36589,0,14177,0,36050,0,49962,0
a4d084cb67b319dc8404a5a650d302ab8bba5c87,2580,0,21762,0,4384,0,22511,0,2789,0,0,0,0,0,36643,0,5521,0,37662,0,61333,0
97f1e8f7e469fb5c22bdf8ea28fb9d927f7b5719,5428,0,26497,0,4405,0,22041,0,2592,0,0,0,0,0,36815,0,5561,0,37497,0,37681,0
a154125dbe1ec748cc4a41b9bc6a1cbf52b20ba3,2602,0,21656,0,4353,0,22489,0,2582,0,0,0,0,0,36545,0,5507,0,37431,0,41259,0
79f65f89b1fdb767c3f90842133f7f1b7590dcd4,5626,0,44321,0,6860,0,23022,0,2821,0,0,0,0,0,36526,0,5541,0,37581,0,37797,0
f8508b4051dde1dfb9c41a11c450dc96b7c1aca6,2747,0,21787,0,12855,0,22615,0,2837,0,0,0,0,0,36663,0,24877,0,61774,0,37769,0
bcc947ae51eebe9de10d6d3d3907badc36c10222,2598,0,21696,0,4380,0,22627,0,2601,0,0,0,0,0,36662,0,5540,0,37489,0,37539,0
499e058818c57587ca1a54612d5f9e7cddb37b49,2780,0,21927,0,11995,0,22723,0,2794,0,0,0,0,0,36350,0,13410,0,37497,0,37678,0
2b5ed66ab6947f49d858b9f5244670fc90e886e2,2612,0,21813,0,10879,0,45573,0,5694,0,0,0,0,0,44654,0,2204,0,36221,0,37605,0
e60b0eb340e78eb29d11d0fc9b5b940f2ab21383,6551,0,21774,0,10670,0,25852,0,12945,0,0,0,0,0,96772,0,69720,0,102259,0,84206,0
3ad98a01af66ab119b9901bff205ff1718a6e84d,7847,0,26366,0,13057,0,23138,0,7892,0,0,0,0,0,82933,0,16150,0,91078,0,85600,0
0cd4d1cd9503d00e783594b679ee17dd740b124e,9020,0,44611,0,12778,0,40099,0,7547,0,0,0,0,0,82550,0,12230,0,102664,0,103948,0
0cf1a40d3b21d49ef2a5c621977f9e5472e599f6,7828,0,21781,0,13892,0,22649,0,13218,0,0,0,0,0,89424,0,72697,0,83191,0,84329,0
66a04125f1f02b85f985b3c52508c84e83b2dc0e,7860,0,21794,0,13998,0,22607,0,7882,0,0,0,0,0,82363,0,72605,0,83287,0,85021,0
a0f0626387d09fbb2057e03733f5c40882096263,8028,0,25803,0,27887,0,26723,0,7936,0,0,0,0,0,86319,0,89058,0,99361,0,88187,0
de792423b42ba4661ba8f0a1a3072470c7d164dc,7565,0,25834,0,27119,0,26536,0,7961,0,0,0,0,0,100556,0,2188,0,87689,0,98464,0
8b5ebea3f05e91f7407fe9840eb0b0bfdb1c6a9d,7965,0,25898,0,12682,0,26865,0,7970,0,0,0,0,0,86506,0,95207,0,87944,0,106676,0
ba2c2298006873ecc86c2764883b1c13ad95b9f9,7948,0,29179,0,32003,0,30235,0,8599,0,0,0,0,0,102422,0,94816,0,101850,0,91303,0
21fbd7822770d82749a353ab28ea82b0e0388b10,12366,0,40957,0,16941,0,30373,0,8033,0,0,0,0,0,112727,0,76685,0,92067,0,103874,0
8c712df54dfe1777fd7729938f498414b637e5bc,7983,0,29421,0,15440,0,30482,0,8923,0,0,0,0,0,106061,0,2214,0,92697,0,92805,0
a1213db99f7563e372ba0b668962202c08e3cbba,8441,0,29000,0,31698,0,30642,0,7627,0,0,0,0,0,90974,0,116585,0,91309,0,94266,0
88f030e445e0fc55b709c4256bb9ba906831fa05,7690,0,51305,0,58890,0,31155,0,7981,0,0,0,0,0,90913,0,3770,0,118060,0,105111,0
f5733d5757952550638f3f98fca63fdc5cad6fb3,7783,0,29146,0,14420,0,30345,0,7393,0,0,0,0,0,106232,0,72671,0,100427,0,92218,0
49796f72bcec3a4d88959ddcd3a9e26ea768d7bb,14918,0,41635,0,4548,0,30370,0,7803,0,0,0,0,0,94190,0,21017,0,97249,0,110507,0
f2055fcdb7468ebdabc9e429807bc0db1711a426,7431,0,30272,0,33422,0,31525,0,7461,0,0,0,0,0,101233,0,96280,0,106579,0,107865,0
152de7523e72720747f38eee9a0a9788e5d0982c,7782,0,30815,0,33904,0,31507,0,7776,0,0,0,0,0,91815,0,96610,0,93692,0,120313,0
fb966808587a4f1da300c084ed5e7dffe7365824,7625,0,30897,0,33738,0,31711,0,7759,0,0,0,0,0,91462,0,96428,0,92459,0,92645,0
762633fafb35cf39785049e2805c5fb726ad6ab2,7369,0,34214,0,50820,0,50005,0,7437,0,0,0,0,0,95192,0,112143,0,97620,0,110873,0
0893e192d7088707f7001ad16c0669a5203741b0,7741,0,34379,0,19139,0,56612,0,9445,0,0,0,0,0,95268,0,90380,0,96593,0,104141,0
da9e1c39fd1b69e0891e39c235818a2a1cd9edf8,7406,0,40170,0,9656,0,34842,0,7845,0,0,0,0,0,103252,0,17929,0,96205,0,112446,0
b585f56f9e78cc10f25871ef7668c611695ae047,11714,0,34179,0,18740,0,35490,0,11774,0,0,0,0,0,111548,0,88037,0,116236,0,109605,0
c753d77964465b638a2c18218dadc1c4759e02e9,11693,0,34220,0,4534,0,47765,0,11677,0,0,0,0,0,101548,0,25679,0,109971,0,119355,0
81699671fd42d3291b647b446384d84427b3c71d,12495,0,34515,0,15798,0,35571,0,20369,0,0,0,0,0,105635,0,86368,0,104405,0,117025,0
77c6f42d2821fe8daa699fedd7c12fb084c9ed98,12407,0,34107,0,7713,0,35412,0,12363,0,0,0,0,0,116518,0,18273,0,103248,0,113047,0
e2317ce15cc0b88e0ead6bd03bf34fd2e90e36a2,12506,0,46091,0,7774,0,35987,0,12359,0,0,0,0,0,101771,0,18520,0,118921,0,102459,0
b96bc9e773502f0a34c56d260cd48a67d452f186,12447,0,34414,0,10786,0,35976,0,12459,0,0,0,0,0,110373,0,17856,0,103182,0,115152,0
