huaban-jieba-analysisproject,sha,reduced_javamop_violations,reduced_emop_violations,reduced_imop_violations,reduced_partial_javamop_violations,all_javamop_violations,all_emop_violations,all_imop_violations,all_rts_javamop_violations
,3ec44e7ec983b5a768f42f8b0b736b7f316a1cf7,0,0,0,0,0,0,0,0
,994356358ac9a79867c537877e2fdc75e5f150e9,0,0,0,0,0,0,0,0
,ca5ec8f3ecef41524860726d908de98e2b4d2bd7,0,0,0,0,0,0,0,0
,dd33b10de4d7f9c168b46b808ce4f8f8bd968209,0,0,0,0,0,0,0,0
,a317a6da0459a55c0add40d5350d7f442cc5cdb2,0,0,0,0,0,0,0,0
,3a0de75f8ac30793b8d5e436724e96b69aa9bc52,0,0,0,0,0,0,0,0
,9534a78b9621787cf139146c16331ee1155b1d16,0,0,0,0,0,0,0,0
,6bae6ca3ad4c75e3baed13fb6b153829d7e74dab,0,0,0,0,0,0,0,0
,a559e1c7b7501a89205ecdeed4dfbe7f59401486,0,0,0,0,0,0,0,0
,a7ec29a09e60806e44b24a2f28e61bf6b4119db3,0,0,0,0,0,0,0,0
,e6487e17818416dc1d7050cced528515795e8ea4,0,0,0,0,0,0,0,0
,1f7c763124bf7f059eafdbaa4da485e06fd7ec21,0,0,0,0,0,0,0,0
,5e47d211b0932f16dec42e57a227e11c9e9295ec,0,0,0,0,0,0,0,0
,6954ee65a67146aef022d1de641794dee509d6da,3,3,3,0,3,3,3,3
,be099cbb285b839f38b20f6244005a734af85e5b,3,3,3,0,3,3,3,3
,47303c63ff8bd530b7b1ea9bfa2dc98352393697,3,3,3,0,3,3,3,3
,c45ad87daa51285aec3c284c353546dcf323bf56,3,3,3,0,3,3,3,3
