project,best-none-greedy_reduced_tests,time_best-none-greedy_no-track,time_best-none-greedy_no-rv,time_best-none-greedy_redundant-and-no-trace-no-rv,violations_best-none-greedy,best-none-ge_reduced_tests,time_best-none-ge_no-track,time_best-none-ge_no-rv,time_best-none-ge_redundant-and-no-trace-no-rv,violations_best-none-ge,best-none-gre_reduced_tests,time_best-none-gre_no-track,time_best-none-gre_no-rv,time_best-none-gre_redundant-and-no-trace-no-rv,violations_best-none-gre,best-none-hgs_reduced_tests,time_best-none-hgs_no-track,time_best-none-hgs_no-rv,time_best-none-hgs_redundant-and-no-trace-no-rv,violations_best-none-hgs,best-time-greedy_reduced_tests,time_best-time-greedy_no-track,time_best-time-greedy_no-rv,time_best-time-greedy_redundant-and-no-trace-no-rv,violations_best-time-greedy,best-time-ge_reduced_tests,time_best-time-ge_no-track,time_best-time-ge_no-rv,time_best-time-ge_redundant-and-no-trace-no-rv,violations_best-time-ge,best-time-gre_reduced_tests,time_best-time-gre_no-track,time_best-time-gre_no-rv,time_best-time-gre_redundant-and-no-trace-no-rv,violations_best-time-gre,best-time-hgs_reduced_tests,time_best-time-hgs_no-track,time_best-time-hgs_no-rv,time_best-time-hgs_redundant-and-no-trace-no-rv,violations_best-time-hgs
AAA-AA-basic-tools,8,9.032,5.05,15.426,0,8,9.032,5.05,15.426,0,8,9.032,5.05,15.426,0,8,9.032,5.05,15.426,0,8,9.032,5.05,15.426,0,8,9.032,5.05,15.426,0,8,9.032,5.05,15.426,0,8,9.032,5.05,15.426,0
ChannelFinder-javaCFClient,ERROR: Unable to download dependencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GreenButtonAlliance-OpenESPI-ThirdParty-java,30,21.077,1.958,1.816,0,30,21.381,1.963,1.779,0,30,21.153,1.972,1.779,0,30,21.182,1.96,1.753,0,30,21.115,1.959,1.762,0,30,21.115,1.959,1.762,0,30,21.153,1.972,1.779,0,30,21.115,1.959,1.762,0
Grundlefleck-ASM-NonClassloadingExtensions,12,58.086,24.134,23.762,0,12,58.557,23.952,23.738,0,12,58.475,24.276,23.942,0,12,58.692,24.12,23.736,0,12,58.908,23.929,23.796,0,12,58.908,23.929,23.796,0,12,58.475,24.276,23.942,0,12,57.691,23.875,23.722,0
ITArray-automotion-java,25,39.544,2.694,3.993,0,25,39.578,2.68,3.99,0,25,41.025,2.695,4.001,0,25,39.517,2.709,4.014,0,25,39.827,2.673,4.016,0,25,39.51,2.674,4.004,0,25,41.025,2.695,4.001,0,25,40.962,2.692,4.002,0
JetBrains-jetCheck,15,14.081,2.076,2.195,2,15,14.318,2.051,2.171,2,15,13.727,2.079,2.196,2,15,14.199,2.062,2.185,2,15,13.91,2.051,2.173,2,15,13.91,2.051,2.173,2,15,13.727,2.079,2.196,2,15,13.91,2.051,2.173,2
LiveRamp-HyperMinHash-java,2,7.996,2.356,107.288,1,2,7.996,2.356,107.288,1,2,7.996,2.356,107.288,1,2,7.996,2.356,107.288,1,2,7.996,2.356,107.288,1,2,7.996,2.356,107.288,1,2,7.996,2.356,107.288,1,2,7.996,2.356,107.288,1
OWASP-url-classifier,34,53.661,8.346,2.035,120,33,54.849,8.456,1.99,9,33,54.631,8.412,2.007,9,33,53.803,8.727,2.019,9,34,53.646,8.582,2.009,9,33,53.87,8.108,2.03,9,33,54.631,8.412,2.007,9,33,53.87,8.108,2.03,9
RUB-NDS-BurpSSOExtension,3,6.703,1.422,1.438,0,3,6.703,1.422,1.438,0,3,6.703,1.422,1.438,0,3,6.703,1.422,1.438,0,3,6.703,1.422,1.438,0,3,6.703,1.422,1.438,0,3,6.703,1.422,1.438,0,3,6.703,1.422,1.438,0
RokLenarcic-AhoCorasick,2,3.881,1.503,109.937,0,2,3.881,1.503,109.937,0,2,3.881,1.503,109.937,0,2,3.881,1.503,109.937,0,2,3.881,1.503,109.937,0,2,3.881,1.503,109.937,0,2,3.881,1.503,109.937,0,2,3.881,1.503,109.937,0
