project,test_codecov,time_codecov_no-track,time_codecov_track,time_codecov_redundant-no-rv,violation_codecov
AAA-AA-basic-tools,17,27.312,41.087,1.356,0
ChannelFinder-javaCFClient,ERROR: run track,,,,
GreenButtonAlliance-OpenESPI-ThirdParty-java,20,10.216,9.924,1.962,0
Grundlefleck-ASM-NonClassloadingExtensions,9,80.984,127.183,27.996,0
ITArray-automotion-java,1,51.282,65.5,4.753,0
JetBrains-jetCheck,19,6.758,7.675,2.605,2
LiveRamp-HyperMinHash-java,7,125.84,243.296,38.925,1
OWASP-url-classifier,32,83.553,216.159,2.004,9
RUB-NDS-BurpSSOExtension,14,7.431,6.623,1.304,0
RokLenarcic-AhoCorasick,8,9.172,9.619,5.657,0
StarlangSoftware-TurkishMorphologicalAnalysis,29,111.671,293.587,26.312,0
StarlangSoftware-TurkishPropBank,6,30.746,91.922,1.791,0
StarlangSoftware-TurkishSentiNet,7,65.976,325.143,2.6,0
albfernandez-javadbf,58,29.672,21.899,4.723,2
alexheretic-dynamics,51,14.876,16.682,2.259,0
bvolpato-inutils4j,38,8.851,7.9,1.628,1
cheese10yun-spring-jpa-best-practices,37,112.576,111.191,4.319,7
cowtowncoder-java-uuid-generator,33,42.246,161.452,1.822,0
dakusui-jcunit,42,37.737,71.846,9.578,1
danieldk-dictomaton,55,175.487,324.066,4.018,7
davidmoten-hilbert-curve,14,25.599,76.225,2.298,3
davidmoten-sparse-hilbert-index,18,12.036,13.457,3.326,2
dernasherbrezon-jradio,476,250.57,386.461,2.5,27
eightbitjim-cassette-nibbler,12,167.57,712.326,1.912,2
f-lab-edu-real-time-delivery-market,5,73.594,95.267,4.643,0
f4b6a3-uuid-creator,107,18.198,17.099,11.501,0
flipkart-incubator-databuilderframework,24,190.093,301.462,29.372,3
fraunhoferfokus-Fuzzino,ERROR: run no-track,,,,
houbb-segment,1,29.851,73.269,2.61,1
houbb-sensitive-word,1,301.329,1240.218,5.261,0
huaban-jieba-analysis,2,7.251,12.191,4.691,3
indeedeng-vowpal-wabbit-java,7,271.287,1451.869,51.581,0
jahlborn-jackcess,ERROR: missing coverage-redundant-no-rv-log.txt,,,,
lhncbc-metamaplite,12,17.802,29.47,3.538,0
mimno-Mallet,182,977.916,2741.948,18.077,13
mocnik-science-geogrid,4,63.924,124.536,5.136,0
mojohaus-aspectj-maven-plugin,8,44.903,102.804,2.419,7
mojohaus-license-maven-plugin,31,27.265,32.259,1.93,4
nonblocking-nonsnapshot-maven-plugin,1,11.663,11.362,1.634,2
octavian-h-time-series-math,86,121.519,357.271,7.584,0
palindromicity-simple-syslog,16,14.982,14.866,1.907,3
pebbleblog-pebble,360,197.291,174.421,6.693,8
picturesafe-picturesafe-search,55,29.671,28.587,2.029,0
romix-java-concurrent-hash-trie-map,10,37.687,156.32,1.988,3
rythmengine-rythmengine,111,80.874,76.496,5.833,3
sangupta-bloomfilter,4,41.11,116.265,2.914,1
sbesada-java.math.expression.parser,8,5.394,5.181,11.444,0
stefano81-dcpabe,15,43.469,42.395,5.288,8
wiqer-ef-redis,4,9.967,8.579,4.332,0
wz2cool-mybatis-dynamic-query,104,26.597,26.835,1.912,6
