project,all_reduced_tests,time_all_no-track,time_all_no-rv,violations_all,SEQ_perfect_reduced_tests,SEQ_time_perfect_no-track,SEQ_time_perfect_no-rv,SEQ_time_perfect_redundant-no-rv,SEQ_violations_perfect,PAR_perfect_reduced_tests,PAR_time_perfect_no-track,PAR_time_perfect_no-rv,PAR_time_perfect_redundant-no-rv,PAR_violations_perfect,SEQ_state_reduced_tests,SEQ_time_state_no-track,SEQ_time_state_no-rv,SEQ_time_state_redundant-no-rv,SEQ_violations_state,PAR_state_reduced_tests,PAR_time_state_no-track,PAR_time_state_no-rv,PAR_time_state_redundant-no-rv,PAR_violations_state,SEQ_prefix_reduced_tests,SEQ_time_prefix_no-track,SEQ_time_prefix_no-rv,SEQ_time_prefix_redundant-no-rv,SEQ_violations_prefix,PAR_prefix_reduced_tests,PAR_time_prefix_no-track,PAR_time_prefix_no-rv,PAR_time_prefix_redundant-no-rv,PAR_violations_prefix,SEQ_online_detour_reduced_tests,SEQ_time_online_detour_no-track,SEQ_time_online_detour_no-rv,SEQ_time_online_detour_redundant-no-rv,SEQ_violations_online_detour,PAR_online_detour_reduced_tests,PAR_time_online_detour_no-track,PAR_time_online_detour_no-rv,PAR_time_online_detour_redundant-no-rv,PAR_violations_online_detour,SEQ_state-online_detour-prefix_reduced_tests,SEQ_time_state-online_detour-prefix_no-track,SEQ_time_state-online_detour-prefix_no-rv,SEQ_time_state-online_detour-prefix_redundant-no-rv,SEQ_violations_state-online_detour-prefix,PAR_state-online_detour-prefix_reduced_tests,PAR_time_state-online_detour-prefix_no-track,PAR_time_state-online_detour-prefix_no-rv,PAR_time_state-online_detour-prefix_redundant-no-rv,PAR_violations_state-online_detour-prefix
AAA-AA-basic-tools,18,24.128,18.869,0,8,8.976,5.012,15.441,0,1,7.986,4.972,15.472,0,7,9.033,5.026,15.433,0,1,7.986,4.972,15.472,0,8,8.976,5.012,15.441,0,1,7.986,4.972,15.472,0,7,9.033,5.026,15.433,0,1,7.986,4.972,15.472,0,7,9.033,5.026,15.433,0,1,7.986,4.972,15.472,0
ChannelFinder-javaCFClient,4,6.263,1.577,0,4,6.239,1.586,1.575,0,3,5.879,1.586,1.563,0,4,6.239,1.586,1.575,0,3,5.879,1.586,1.563,0,4,6.239,1.586,1.575,0,3,5.879,1.586,1.563,0,4,6.239,1.586,1.575,0,3,5.879,1.586,1.563,0,4,6.239,1.586,1.575,0,3,5.879,1.586,1.563,0
GreenButtonAlliance-OpenESPI-ThirdParty-java,36,21.240,1.980,0,10,20.456,1.921,1.814,0,7,19.575,1.907,1.861,0,10,20.456,1.921,1.814,0,7,19.575,1.907,1.861,0,10,20.456,1.921,1.814,0,7,19.575,1.907,1.861,0,10,20.456,1.921,1.814,0,7,19.575,1.907,1.861,0,10,20.456,1.921,1.814,0,7,19.575,1.907,1.861,0
Grundlefleck-ASM-NonClassloadingExtensions,110,155.801,41.696,0,27,59.197,24.535,23.643,0,11,87.321,24.366,23.594,0,12,58.352,24.538,23.758,0,5,87.524,24.147,23.636,0,26,58.900,24.549,23.679,0,10,87.565,24.399,23.697,0,12,58.352,24.538,23.758,0,6,87.214,24.678,23.824,0,11,58.352,24.088,23.674,0,5,87.524,24.147,23.636,0
ITArray-automotion-java,5946,50.808,9.001,0,32,43.080,3.431,3.262,0,,,,,,28,39.777,2.662,4.009,0,,,,,,27,41.251,3.403,3.266,0,,,,,,25,39.287,2.713,4.069,0,,,,,,23,39.569,2.708,4.036,0,,,,,
JetBrains-jetCheck,54,34.227,3.112,2,27,16.776,2.183,2.035,2,24,16.176,2.204,2.043,2,18,14.542,2.098,2.169,2,15,15.287,2.018,2.188,2,19,14.666,2.115,2.146,2,16,15.608,2.040,2.184,2,17,14.122,1.996,2.171,2,13,15.577,2.186,2.084,2,15,13.897,2.021,2.189,2,12,15.032,2.020,2.178,2
LiveRamp-HyperMinHash-java,22,211.430,91.255,1,4,86.688,28.447,70.153,1,2,8.115,2.284,85.564,1,4,86.688,28.447,70.153,1,2,8.115,2.284,85.564,1,4,86.688,28.447,70.153,1,2,8.115,2.284,85.564,1,4,86.688,28.447,70.153,1,2,8.115,2.284,85.564,1,2,8.011,2.332,87.268,1,2,8.115,2.284,85.564,1
OWASP-url-classifier,65,53.769,8.187,9,53,51.936,8.409,1.949,9,58,49.149,8.249,1.673,9,34,52.020,8.247,1.982,9,32,48.137,8.152,2.027,9,53,51.936,8.409,1.949,9,51,52.450,8.270,2.012,9,31,51.912,8.093,1.992,9,37,49.181,8.254,2.059,9,25,54.670,8.293,2.021,9,24,52.148,7.978,2.075,9
RUB-NDS-BurpSSOExtension,17,6.687,1.457,0,3,6.597,1.402,1.441,0,1,6.152,1.401,1.431,0,3,6.597,1.402,1.441,0,1,6.152,1.401,1.431,0,3,6.597,1.402,1.441,0,1,6.152,1.401,1.431,0,3,6.597,1.402,1.441,0,1,6.152,1.401,1.431,0,3,6.597,1.402,1.441,0,1,6.152,1.401,1.431,0
RokLenarcic-AhoCorasick,116,185.802,109.962,0,2,4.034,1.569,110.048,0,70,166.977,94.409,17.067,0,2,4.034,1.569,110.048,0,70,166.977,94.409,17.067,0,2,4.034,1.569,110.048,0,70,166.977,94.409,17.067,0,2,4.034,1.569,110.048,0,12,30.907,25.706,85.572,0,2,4.034,1.569,110.048,0,11,20.138,13.572,98.089,0
StarlangSoftware-TurkishMorphologicalAnalysis,71,153.876,41.899,0,47,139.174,34.012,13.031,0,46,140.666,35.559,11.280,0,26,101.365,18.416,28.425,0,27,103.740,19.935,26.860,0,45,138.266,33.873,12.976,0,46,140.666,35.559,11.280,0,29,99.082,19.174,27.766,0,26,100.186,19.039,27.694,0,26,102.103,18.393,28.649,0,25,110.340,18.252,28.612,0
StarlangSoftware-TurkishPropBank,10,48.874,2.042,0,6,32.739,1.932,1.652,0,6,32.679,1.856,1.638,0,6,32.739,1.932,1.652,0,6,32.679,1.856,1.638,0,6,32.739,1.932,1.652,0,6,32.679,1.856,1.638,0,6,32.739,1.932,1.652,0,6,32.679,1.856,1.638,0,6,32.739,1.932,1.652,0,6,32.679,1.856,1.638,0
