project,seq or par,eq,orig rv time,orig test count,reduced rv time,redundant test time,reduced test count
AAA-AA-basic-tools,par,perfect,24.128,18,7.986,15.472,1
ChannelFinder-javaCFClient,par,perfect,6.263,4,5.879,1.563,3
GreenButtonAlliance-OpenESPI-ThirdParty-java,par,perfect,21.240,36,19.575,1.861,7
Grundlefleck-ASM-NonClassloadingExtensions,seq,state,155.801,110,58.352,23.758,12
ITArray-automotion-java,seq,online_detour,50.808,5946,39.287,4.069,25
JetBrains-jetCheck,seq,state-online_detour-prefix,34.227,54,13.897,2.189,15
LiveRamp-HyperMinHash-java,seq,state-online_detour-prefix,211.430,22,8.011,87.268,2
OWASP-url-classifier,par,state,53.769,65,48.137,2.027,32
RUB-NDS-BurpSSOExtension,par,perfect,6.687,17,6.152,1.431,1
RokLenarcic-AhoCorasick,seq,perfect,185.802,116,4.034,110.048,2
StarlangSoftware-TurkishMorphologicalAnalysis,seq,online_detour,153.876,71,99.082,27.766,29
StarlangSoftware-TurkishPropBank,par,perfect,48.874,10,32.679,1.638,6
StarlangSoftware-TurkishSentiNet,par,state,66.623,7,23.672,2.103,2
albfernandez-javadbf,seq,prefix,35.391,154,22.039,4.401,63
alexheretic-dynamics,par,perfect,15.576,226,13.971,2.238,20
bvolpato-inutils4j,seq,perfect,8.788,43,7.967,1.671,17
cheese10yun-spring-jpa-best-practices,par,state-online_detour-prefix,99.704,52,92.853,6.512,9
cowtowncoder-java-uuid-generator,seq,perfect,43.613,66,38.518,1.841,22
dakusui-jcunit,seq,state-online_detour-prefix,690.083,254,19.679,10.034,15
danieldk-dictomaton,par,state-online_detour-prefix,181.883,221,110.72,3.513,78
davidmoten-hilbert-curve,par,perfect,26.797,68,21.03,5.562,4
davidmoten-sparse-hilbert-index,seq,state-online_detour-prefix,13.262,63,11.642,3.097,30
dernasherbrezon-jradio,seq,state-online_detour-prefix,236.895,645,71.482,5.408,200
eightbitjim-cassette-nibbler,seq,state-online_detour-prefix,326.010,28,144.49,2.123,7
f-lab-edu-real-time-delivery-market,seq,perfect,73.497,6,63.565,2.012,4
f4b6a3-uuid-creator,par,perfect,38.464,496,4.366,13.827,1
flipkart-incubator-databuilderframework,seq,state-online_detour-prefix,294.709,83,139.61,41.871,24
fraunhoferfokus-Fuzzino,seq,state-online_detour-prefix,123.873,170,87.033,4.405,137
houbb-segment,par,online_detour,28.504,27,24.962,2.369,10
houbb-sensitive-word,par,state-online_detour-prefix,294.998,47,58.759,4.81,6
huaban-jieba-analysis,seq,online_detour,91.459,5,6.596,4.608,2
indeedeng-vowpal-wabbit-java,seq,perfect,574.173,16,6.053,90.522,8
jahlborn-jackcess,seq,prefix,206.673,194,180.696,23.277,180
lhncbc-metamaplite,seq,perfect,17.404,36,14.787,1.781,18
mimno-Mallet,seq,online_detour,884.519,184,697.056,9.423,79
mocnik-science-geogrid,par,perfect,94.335,8,29.69,9.407,1
mojohaus-aspectj-maven-plugin,par,state-online_detour-prefix,45.609,18,40.065,2.431,7
mojohaus-license-maven-plugin,par,perfect,23.229,48,22.025,1.752,11
nonblocking-nonsnapshot-maven-plugin,par,online_detour,11.130,30,8.669,1.612,18
octavian-h-time-series-math,par,online_detour,126.616,159,117.174,8.549,6
palindromicity-simple-syslog,seq,perfect,39.409,48,30.742,1.625,23
pebbleblog-pebble,par,online_detour,95.080,303,49.372,3.327,65
picturesafe-picturesafe-search,seq,online_detour,34.086,62,30.366,2.052,24
romix-java-concurrent-hash-trie-map,seq,perfect,37.955,21,34.466,2.135,10
rythmengine-rythmengine,seq,online_detour,109.927,253,80.242,5.822,222
sangupta-bloomfilter,par,perfect,30.888,5,24.27,7.78,1
sbesada-java.math.expression.parser,par,perfect,330.089,10,4.574,11.127,2
stefano81-dcpabe,par,state,46.248,36,41.546,5.113,20
wiqer-ef-redis,par,perfect,52.939,7,8.589,4.373,1
wz2cool-mybatis-dynamic-query,seq,perfect,26.551,204,24.627,1.734,50
