project,all_reduced_tests,time_all_track,time_all_no-rv,violations_all,SEQ_perfect_reduced_tests,SEQ_time_perfect_track,SEQ_time_perfect_no-rv,SEQ_time_perfect_redundant-no-rv,SEQ_violations_perfect,PAR_perfect_reduced_tests,PAR_time_perfect_track,PAR_time_perfect_no-rv,PAR_time_perfect_redundant-no-rv,PAR_violations_perfect,SEQ_state_reduced_tests,SEQ_time_state_track,SEQ_time_state_no-rv,SEQ_time_state_redundant-no-rv,SEQ_violations_state,PAR_state_reduced_tests,PAR_time_state_track,PAR_time_state_no-rv,PAR_time_state_redundant-no-rv,PAR_violations_state,SEQ_prefix_reduced_tests,SEQ_time_prefix_track,SEQ_time_prefix_no-rv,SEQ_time_prefix_redundant-no-rv,SEQ_violations_prefix,PAR_prefix_reduced_tests,PAR_time_prefix_track,PAR_time_prefix_no-rv,PAR_time_prefix_redundant-no-rv,PAR_violations_prefix,SEQ_online_detour_reduced_tests,SEQ_time_online_detour_track,SEQ_time_online_detour_no-rv,SEQ_time_online_detour_redundant-no-rv,SEQ_violations_online_detour,PAR_online_detour_reduced_tests,PAR_time_online_detour_track,PAR_time_online_detour_no-rv,PAR_time_online_detour_redundant-no-rv,PAR_violations_online_detour,SEQ_state-online_detour-prefix_reduced_tests,SEQ_time_state-online_detour-prefix_track,SEQ_time_state-online_detour-prefix_no-rv,SEQ_time_state-online_detour-prefix_redundant-no-rv,SEQ_violations_state-online_detour-prefix,PAR_state-online_detour-prefix_reduced_tests,PAR_time_state-online_detour-prefix_track,PAR_time_state-online_detour-prefix_no-rv,PAR_time_state-online_detour-prefix_redundant-no-rv,PAR_violations_state-online_detour-prefix
AAA-AA-basic-tools,18,41.774,18.869,0,8,27.948,5.012,15.441,0,8,26.292,4.972,15.472,0,7,27.252,5.026,15.433,0,7,27.571,4.972,15.472,0,8,27.948,5.012,15.441,0,8,26.292,4.972,15.472,0,7,27.252,5.026,15.433,0,7,27.571,4.972,15.472,0,7,27.252,5.026,15.433,0,7,27.571,4.972,15.472,0
ChannelFinder-javaCFClient,4,7.377,1.577,0,4,6.485,1.586,1.575,0,4,6.404,1.586,1.563,0,4,6.485,1.586,1.575,0,4,6.404,1.586,1.563,0,4,6.485,1.586,1.575,0,4,6.404,1.586,1.563,0,4,6.485,1.586,1.575,0,4,6.404,1.586,1.563,0,4,6.485,1.586,1.575,0,4,6.404,1.586,1.563,0
GreenButtonAlliance-OpenESPI-ThirdParty-java,36,21.901,1.980,0,10,21.096,1.921,1.814,0,30,21.405,1.907,1.861,0,10,21.096,1.921,1.814,0,30,21.405,1.907,1.861,0,10,21.096,1.921,1.814,0,30,21.405,1.907,1.861,0,10,21.096,1.921,1.814,0,30,21.405,1.907,1.861,0,10,21.096,1.921,1.814,0,30,21.405,1.907,1.861,0
Grundlefleck-ASM-NonClassloadingExtensions,110,302.481,41.696,0,27,108.230,24.535,23.643,0,29,134.336,24.366,23.594,0,12,107.693,24.538,23.758,0,13,133.942,24.147,23.636,0,26,111.498,24.549,23.679,0,27,136.390,24.399,23.697,0,12,107.693,24.538,23.758,0,14,134.165,24.678,23.824,0,11,107.470,24.088,23.674,0,12,138.227,24.147,23.636,0
ITArray-automotion-java,5946,62.154,9.001,0,32,51.967,3.431,3.262,0,,,,,,28,44.759,2.662,4.009,0,,,,,,27,52.589,3.403,3.266,0,,,,,,25,43.995,2.713,4.069,0,,,,,,23,44.392,2.708,4.036,0,,,,,
JetBrains-jetCheck,54,66.609,3.112,2,27,30.438,2.183,2.035,2,27,29.413,2.204,2.043,2,18,28.751,2.098,2.169,2,17,28.025,2.018,2.188,2,19,29.109,2.115,2.146,2,18,28.365,2.040,2.184,2,17,26.717,1.996,2.171,2,16,26.334,2.186,2.084,2,15,26.907,2.021,2.189,2,14,26.347,2.020,2.178,2
LiveRamp-HyperMinHash-java,22,334.019,91.255,1,4,207.413,28.447,70.153,1,4,202.080,2.284,85.564,1,4,207.413,28.447,70.153,1,4,55.138,2.284,85.564,1,4,207.413,28.447,70.153,1,4,202.080,2.284,85.564,1,4,207.413,28.447,70.153,1,4,202.080,2.284,85.564,1,2,13.191,2.332,87.268,1,2,13.119,2.284,85.564,1
OWASP-url-classifier,65,124.04,8.187,9,53,117.083,8.409,1.949,9,60,121.901,8.249,1.673,120,34,116.821,8.247,1.982,9,34,117.401,8.152,2.027,9,53,117.083,8.409,1.949,9,53,115.768,8.270,2.012,9,31,117.089,8.093,1.992,9,39,121.340,8.254,2.059,9,25,117.841,8.293,2.021,9,26,114.033,7.978,2.075,9
RUB-NDS-BurpSSOExtension,17,6.677,1.457,0,3,6.400,1.402,1.441,0,3,6.367,1.401,1.431,0,3,6.400,1.402,1.441,0,3,6.367,1.401,1.431,0,3,6.400,1.402,1.441,0,3,6.367,1.401,1.431,0,3,6.400,1.402,1.441,0,3,6.367,1.401,1.431,0,3,6.400,1.402,1.441,0,3,6.367,1.401,1.431,0
RokLenarcic-AhoCorasick,116,1550.051,109.962,0,2,4.919,1.569,110.048,0,77,1367.007,94.409,17.067,0,2,4.919,1.569,110.048,0,75,1335.051,94.409,17.067,0,2,4.919,1.569,110.048,0,75,1432.605,94.409,17.067,0,2,4.919,1.569,110.048,0,16,32.183,25.706,85.572,0,2,4.919,1.569,110.048,0,13,103.071,13.572,98.089,0
