project,seq or par,eq,orig rv time,orig test count,reduced rv time,redundant test time,reduced test count
AAA-AA-basic-tools,par,perfect,41.774,18,26.292,15.472,8
ChannelFinder-javaCFClient,par,perfect,7.377,4,6.404,1.563,4
GreenButtonAlliance-OpenESPI-ThirdParty-java,seq,perfect,21.901,36,21.096,1.814,10
Grundlefleck-ASM-NonClassloadingExtensions,seq,state-online_detour-prefix,302.481,110,107.47,23.674,11
ITArray-automotion-java,seq,online_detour,62.154,5946,43.995,4.069,25
JetBrains-jetCheck,par,online_detour,66.609,54,26.334,2.084,16
LiveRamp-HyperMinHash-java,par,state-online_detour-prefix,334.019,22,13.119,85.564,2
OWASP-url-classifier,par,state-online_detour-prefix,124.04,65,114.033,2.075,26
RUB-NDS-BurpSSOExtension,par,perfect,6.677,17,6.367,1.431,3
RokLenarcic-AhoCorasick,seq,perfect,1550.051,116,4.919,110.048,2
StarlangSoftware-TurkishMorphologicalAnalysis,seq,state-online_detour-prefix,372.62,71,277.002,28.649,26
StarlangSoftware-TurkishPropBank,par,perfect,157.535,10,103.554,1.638,6
StarlangSoftware-TurkishSentiNet,par,prefix,291.669,7,126.781,2.1,3
albfernandez-javadbf,par,prefix,35.217,154,21.292,6.431,63
alexheretic-dynamics,par,prefix,19.855,226,16.559,2.244,52
bvolpato-inutils4j,par,perfect,8.828,43,7.709,1.687,17
cheese10yun-spring-jpa-best-practices,seq,state,104.205,52,96.361,6.823,8
cowtowncoder-java-uuid-generator,seq,perfect,159.429,66,164.683,1.841,22
dakusui-jcunit,seq,state-online_detour-prefix,2273.078,254,33.89,10.034,15
danieldk-dictomaton,par,online_detour,375.388,221,233.582,3.504,100
davidmoten-hilbert-curve,seq,state,76.369,68,75.04,2.25,22
davidmoten-sparse-hilbert-index,seq,state-online_detour-prefix,16.641,63,13.878,3.097,30
dernasherbrezon-jradio,seq,state-online_detour-prefix,343.548,645,95.516,5.408,200
eightbitjim-cassette-nibbler,par,state-online_detour-prefix,1576.737,28,553.388,1.886,7
f-lab-edu-real-time-delivery-market,par,perfect,66.759,6,64.779,2.023,4
f4b6a3-uuid-creator,seq,perfect,40.825,496,21.563,4.882,54
flipkart-incubator-databuilderframework,seq,state-online_detour-prefix,517.098,83,240.577,41.871,24
fraunhoferfokus-Fuzzino,seq,state-online_detour-prefix,1279.332,170,697.068,4.405,137
houbb-segment,par,state-online_detour-prefix,70.866,27,53.228,2.353,9
houbb-sensitive-word,par,state-online_detour-prefix,1417.137,47,181.157,4.81,6
huaban-jieba-analysis,seq,online_detour,174.457,5,11.911,4.608,2
indeedeng-vowpal-wabbit-java,seq,online_detour,3350.984,16,5.477,89.924,6
jahlborn-jackcess,seq,prefix,849.193,194,809.444,23.277,180
lhncbc-metamaplite,seq,state-online_detour-prefix,17.091,36,15.917,1.783,16
mimno-Mallet,seq,state,2423.171,184,1804.656,9.374,80
mocnik-science-geogrid,seq,perfect,168.689,8,97.747,5.486,2
mojohaus-aspectj-maven-plugin,seq,state,108.527,18,66.992,2.416,11
mojohaus-license-maven-plugin,par,state,24.098,48,22.921,1.752,29
nonblocking-nonsnapshot-maven-plugin,par,perfect,12.135,30,10.725,1.58,26
octavian-h-time-series-math,par,prefix,393.685,159,361.108,8.456,14
palindromicity-simple-syslog,seq,state,72.667,48,54.364,1.688,15
pebbleblog-pebble,par,state-online_detour-prefix,97.903,303,50.31,3.375,94
picturesafe-picturesafe-search,seq,online_detour,33.265,62,31.511,2.052,24
romix-java-concurrent-hash-trie-map,par,perfect,153.678,21,142.574,2.42,11
rythmengine-rythmengine,seq,state,124.848,253,84.803,5.895,222
sangupta-bloomfilter,seq,perfect,96.35,5,93.807,2.884,4
sbesada-java.math.expression.parser,par,perfect,3623.74,10,3527.32,11.127,8
stefano81-dcpabe,par,state-online_detour-prefix,48.937,36,42.649,5.029,19
wiqer-ef-redis,seq,perfect,211.405,7,188.206,1.294,4
wz2cool-mybatis-dynamic-query,seq,state-online_detour-prefix,26.602,204,25.674,1.92,42
