project,sha,test,status,all_javamop_all_specs,status,reduced_javamop_all_specs,status,redundant_tests,status,all_emop,status,reduced_emop,status,all_imop,status,reduced_imop,status,all_ekstazi,status,reduced_ekstazi,status,reduced_codecov,status,redundant_codecov,status,total_status
AAA-AA-basic-tools,9,93365,0,169973,0,150947,0,29585,0,156990,0,149558,0,110900,0,117712,0,134473,0,125074,0,154091,0,39032,0,0
agarciadom-xeger,6,26285,0,167969,0,215880,0,21493,0,135945,0,141983,0,128458,0,150608,0,141218,0,83528,0,111294,0,24718,0,0
albfernandez-javadbf,50,356327,0,802297,0,609835,0,334694,0,1260450,0,1010918,0,659504,42,561509,0,1674933,1,1343866,0,697110,0,427443,0,43
almondtools-stringsearchalgorithms,38,326308,0,2443605,0,1124888,0,317568,0,2705638,0,1524205,0,1790986,0,704281,0,2143856,0,696623,0,1143792,0,316402,0,0
almson-almson-refcount,4,40488,0,159979,0,148270,0,25137,0,291036,0,177805,0,195430,0,151632,0,220887,0,108735,0,113346,0,40041,0,0
apache-xmlgraphics-commons,39,322072,0,2007439,0,1949952,0,239402,0,1522936,0,1420462,0,1002585,0,997356,0,918879,0,777638,0,1840625,0,243058,0,0
codelion-gramtest,28,127418,0,689596,0,502095,0,136013,0,819228,0,607570,0,444053,0,275386,0,623326,0,229443,0,500114,0,133177,0,0
danieldk-dictomaton,6,41630,0,1050980,0,742539,0,37635,0,891929,0,642225,0,810029,0,574014,0,956313,0,86561,0,1054073,0,53600,0,0
danielflower-maven-gitlog-plugin,25,85368,0,417469,0,417418,0,86383,0,466840,0,433831,0,188692,0,166261,0,432284,0,164692,0,389007,0,88577,0,0
davidmoten-rtree2,10,122931,0,2262694,0,1273228,0,109539,0,1863707,0,1045809,0,1741833,0,969888,0,1494581,1,319837,1,1762671,0,169438,0,2
davidmoten-rxjava2-aws,4,25307,0,379839,0,383751,0,19703,0,233906,0,219667,0,341383,0,338016,0,92791,1,110120,1,392007,0,24948,0,2
f4b6a3-uuid-creator,33,984891,0,1661689,0,969129,0,433297,0,3728457,0,1129706,0,1507357,0,809461,0,1118383,0,651876,0,686871,0,832679,0,0
flipkart-incubator-databuilderframework,5,529605,0,1112240,0,447894,0,474765,0,1145080,0,476477,0,1057452,0,400237,0,1208798,0,565441,0,844791,0,82823,0,0
fusion-jena-JaroWinklerSimilarity,13,161432,0,2113978,0,960726,0,145413,0,2099946,0,1585668,0,1790904,0,953628,0,1194745,0,605443,0,245059,0,185159,0,0
hazelcast-hazelcast-aws,6,197170,0,767816,0,643917,0,146904,0,775914,0,729473,0,847331,5,292447,5,603241,0,507661,0,622858,0,138587,0,10
huaban-jieba-analysis,17,217185,0,5501770,0,215344,0,232666,0,5818745,0,443404,0,5298122,0,282273,0,8646313,0,284315,0,183654,0,214577,0,0
indeedeng-vowpal-wabbit-java,4,230745,0,1292747,0,714813,0,126858,0,910308,0,490565,0,859342,0,466550,0,987397,0,380427,0,668881,0,133962,0,0
jenkins-infra-update-center2,14,379642,0,1851391,0,1834263,0,96539,0,1762817,0,1694852,0,493194,10,460830,10,547578,0,638839,0,956097,0,362903,0,20
JetBrains-jetCheck,50,341122,0,1725263,0,882438,0,350351,0,1998327,0,1154719,0,1409623,0,663556,0,1739566,0,647412,0,482881,0,301670,0,0
loadtest4j-loadtest4j,9,39140,0,518390,0,159455,0,33971,0,376812,0,145575,0,289581,0,154676,0,475200,0,110316,0,146879,0,33074,0,0
mocnik-science-geogrid,9,126077,0,625395,0,385724,0,70503,0,614652,0,481775,0,555851,0,377096,0,372603,0,236794,0,420824,0,66714,0,0
mojohaus-aspectj-maven-plugin,3,22586,0,214073,0,207004,0,26865,0,257535,0,223067,0,512987,0,511945,0,199816,0,199291,0,203296,0,28900,0,0
myui-btree4j,20,837707,0,2144883,0,1213418,0,459183,0,1431288,0,866671,0,1336067,0,785377,0,1559033,0,583753,0,1154208,0,466980,0,0
nRo-DataFrame,50,204936,0,1190808,0,431968,0,203358,0,1178339,0,580603,0,422419,0,257020,0,1008283,0,355700,0,329865,0,206036,0,0
sangupta-bloomfilter,6,230205,0,306150,0,294459,0,33659,0,269700,0,267651,0,283192,0,277153,0,233460,0,180402,0,290722,0,28822,0,0
sbesada-java.math.expression.parser,5,29791,0,473842,0,505962,0,23097,0,501237,0,484368,0,460395,0,476452,0,538673,0,44811,0,33312,0,30142,0,0
solita-functional-utils,21,92947,0,6131516,0,525797,0,60663,0,6376302,0,894871,0,5807810,0,250744,0,15914770,0,433439,0,6110408,0,72723,0,0
spotify-trickle,7,21871,0,181516,0,179803,0,18644,0,145494,0,136927,0,81071,0,86748,0,164729,0,135770,0,152706,0,22616,0,0
sstrickx-yahoofinance-api,17,73236,0,488429,0,425316,0,67313,0,493822,0,457550,0,145393,0,121697,0,328551,0,314053,0,455633,0,63593,0,0
StarlangSoftware-TurkishDeasciifier,3,11919,0,9469213,0,3194443,0,10112,0,3207614,0,1101097,0,6445757,0,2169281,0,6279924,0,2221227,0,9905057,0,11462,0,0
StarlangSoftware-TurkishPropBank,4,206033,0,220832,0,205257,0,97387,0,421616,0,297055,0,305816,0,228892,0,226508,0,113383,0,171003,0,124607,0,0
StarlangSoftware-TurkishSentiNet,5,25270,0,150459,0,83373,0,19973,0,167418,0,101649,0,167718,0,75302,0,151967,0,94015,0,162109,0,18828,0,0
sylvainlaurent-swagger-validator-maven-plugin,3,14662,0,241766,0,246498,0,15776,0,222251,0,220797,0,184755,0,217473,0,259733,0,261070,0,250280,0,15335,0,0
wiqer-ef-redis,9,52306,0,621559,0,613704,0,25894,0,295536,0,287760,0,477333,0,481215,0,112749,0,155339,0,118836,0,53322,0,0
