project,branch,line,num_of_commits,first_commit_timestamp,sloc,stars
AAA-AA-basic-tools,0.1622418879,0.06177132338,73,1562056702,6239,67
ahus1-prometheus-hystrix,0.7882352941,0.6070588235,157,1395784747,1207,102
apache-xmlgraphics-commons,0.3327976625,0.4307701779,637,1140450573,36334,19
aschoerk-converter-page,0.5264797508,0.5721027792,35,1461926850,3536,43
bingoohuang-asmvalidator,0.698156682,0.8981854839,97,1438773207,4280,5
davidmoten-sparse-hilbert-index,1,1,321,1559809512,2027,48
delving-x3ml,0.6161971831,0.7361668003,185,1382350152,3405,10
dernasherbrezon-jradio,0.6160723904,0.8177825493,1354,1490993051,133149,63
grpc-grpc-java-api-checker,0.8333333333,0.8958333333,26,1517489094,966,31
hazelcast-hazelcast-aws,0.7265625,0.9251844046,544,1308208994,3548,38
imagej-imagej-omero,0.3171759747,0.3780830471,872,1371743332,11615,11
mojohaus-aspectj-maven-plugin,0.3587570621,0.409221902,458,1132527439,2614,117
pebbleblog-pebble,0.44117019,0.4856825132,637,1245375277,36543,69
RokLenarcic-AhoCorasick,0.7377850163,0.8135949544,10,1433369222,5516,16
spotify-trickle,0.976744186,0.9826086957,150,1379413262,2538,285
streamx-co-FluentJPA,0.7467362924,0.8215324927,224,1563814447,10866,121
agarciadom-xeger,0.5,0.740740741,41,1359400396,204,93
albfernandez-javadbf,0.739076155,0.807496823,495,1054719153,7286,231
almondtools-stringsearchalgorithms,0.921875,0.947202522,250,1447359729,10355,45
codelion-gramtest,0.452914798,0.489683631,114,1429509577,491,86
danieldk-dictomaton,0.564971751,0.556900726,142,1360489497,4184,130
f4b6a3-uuid-creator,0.68984701,0.883071553,840,1524490819,16945,505
graphstream-gs-core,0.177742699,0.223537498,923,1235037648,48721,413
hlavki-jlemmagen,0.636904762,0.723098996,26,1382347149,1248,10
huaban-jieba-analysis,0.736526946,0.735166425,111,1375697164,1265,2640
LiveRamp-HyperMinHash-java,0.576923077,0.5696767,48,1525412928,2961,57
mocnik-science-geogrid,0.490084986,0.623318386,161,1500231756,1208,52
palindromicity-simple-syslog,0.396207585,0.473371429,57,1542817309,10592,18
sangupta-bloomfilter,0.248407643,0.418052257,50,1395731382,1010,63
solita-functional-utils,0.269201521,0.124627862,308,1356097127,28262,23
StarlangSoftware-TurkishPropBank,0.235849057,0.448717949,74,1527829703,600,6
StarlangSoftware-TurkishSentiNet,0.842105263,0.788321168,58,1566712250,312,11
Sweetiee-yi-Jaba,0.774647887,0.864795918,6,1544367302,808,97
fusion-jena-JaroWinklerSimilarity,0.738636364,0.853658537,47,1533024163,1899,19
JetBrains-jetCheck,0.751677852,0.883002208,47,1527858792,2607,80
StarlangSoftware-TurkishMorphologicalDisambiguation,0.489383215,0.388655462,147,1527930217,2786,8
almson-almson-refcount,0.270072993,0.523219814,19,1540048789,677,20
davidmoten-bplustree,0.827102804,0.932984293,374,1568974115,3279,47
davidmoten-rtree,0.796778191,0.836321839,1241,1409056531,8390,1121
davidmoten-rtree2,0.801680672,0.89298893,1283,1409056531,5532,92
flipkart-incubator-databuilderframework,0.524096386,0.746188341,151,1404194424,6999,36
StarlangSoftware-TurkishDeasciifier,0.853658537,0.885542169,92,1527792654,417,6
StarlangSoftware-TurkishMorphologicalAnalysis,0.587510994,0.656723716,241,1527778758,4616,17
StarlangSoftware-TurkishSpellChecker,0.866983373,0.925986842,172,1527793479,1381,14
cowtowncoder-java-uuid-generator,0.428246014,0.503882657,236,1268879729,4862,811
indeedeng-vowpal-wabbit-java,0.488479263,0.490514905,161,1422308687,2198,51
aehrc-ontology-core,0.07155471739,0.1035437104,419,1352674297,6117,6
andreitognolo-raidenjpa,0.5974842767,0.285013276,269,1386713385,7904,5
bigdatagenomics-convert,0.574,0.7468796466,119,1474045389,4357,0
fabiomaffioletti-jsondoc,0.5,0.5,411,1344074659,7593,264
Azure-autorest-clientruntime-for-java,0.2582483503,0.2935710466,4259,1424473374,15985,22
Blazebit-blaze-utils,0.3386167488,0.4465304247,198,1342632423,13014,3
