id,name,repo,sha
1,RokLenarcic-AhoCorasick,RokLenarcic/AhoCorasick,7acfcb763241e207560537083ccaed99d8731ede
2,davidmoten-sparse-hilbert-index,davidmoten/sparse-hilbert-index,018f6e4c4bf68342c1c093b0b5773123e8eaa7bc
3,StarlangSoftware-TurkishMorphologicalAnalysis,StarlangSoftware/TurkishMorphologicalAnalysis,26450b47db92b64580a2bfa4a0d7d0bce38edd49
4,andreitognolo-raidenjpa,andreitognolo/raidenjpa,1c6e320f9f9d26c89e54f41eab1ef123815d2f06
5,solita-functional-utils,solita/functional-utils,bf42b0192232c06ae6c50725c352cecca844b3f4
6,huaban-jieba-analysis,huaban/jieba-analysis,e46e44ba2c7b8534a9b489801f4ce0d38378ad1a
7,StarlangSoftware-TurkishSpellChecker,StarlangSoftware/TurkishSpellChecker,0b81eabd080b1a12fc94d08b49b7a094785a9601
8,codelion-gramtest,codelion/gramtest,355cf41dcf0904e8d28aeb220241df0137c789ca
9,LiveRamp-HyperMinHash-java,LiveRamp/HyperMinHash-java,9f5267dbaab4d82dcaf2eff4ceb4d9a1599bfeae
10,StarlangSoftware-TurkishMorphologicalDisambiguation,StarlangSoftware/TurkishMorphologicalDisambiguation,bf8dbc2cd835c67178eb896939ad1009b6743486
11,Azure-autorest-clientruntime-for-java,Azure/autorest-clientruntime-for-java,4d645daa595a3bed1ba463d59d6b8bfb0b820477
12,almondtools-stringsearchalgorithms,almondtools/stringsearchalgorithms,19f26f1c06192816b1ff2fb3b86740898d50a44d
13,StarlangSoftware-TurkishDeasciifier,StarlangSoftware/TurkishDeasciifier,982c11d344788ed572a392a944a73993f83d5982
14,davidmoten-rtree,davidmoten/rtree,f1da3d62dbdab20654b63da91510c51a32e8b8a8
15,dernasherbrezon-jradio,dernasherbrezon/jradio,3fd14432f75d291165fdc8b6f8d261d6607ff217
16,hlavki-jlemmagen,hlavki/jlemmagen,43f7c636811a1f7fea7ae7db403ec6f3ec60e9b7
17,JetBrains-jetCheck,JetBrains/jetCheck,8a7b755816887ec6ace8ad68b581cbb4c3f46cad
18,flipkart-incubator-databuilderframework,flipkart-incubator/databuilderframework,d739c964a4dda5fa212a5c52da61bc39d62ebe3a
19,palindromicity-simple-syslog,palindromicity/simple-syslog,aea2990ca8e29d027f6514d0993a1ba84662e69f
20,davidmoten-rtree2,davidmoten/rtree2,7da3d606a192321217f6b780b6ab4fdcd8e3e1ed
21,f4b6a3-uuid-creator,f4b6a3/uuid-creator,f9e6e6d02ecc8dac16a56e4fab1bd24caec8171c
22,StarlangSoftware-TurkishSentiNet,StarlangSoftware/TurkishSentiNet,636ab8932a35d78033e8e501221c386521a8cbb3
