project,status,time_test,time_all-javamop-all-specs,time_reduced-javamop-all-specs,time_reduced-javamop-deinstr-both,violation_all-javamop-all-specs,violation_reduced-javamop-all-specs,violation_reduced-javamop-deinstr-both,tests_all,tests_reduced,all traces,all unique traces,reduced traces,reduced unique traces,non-deinstr - all,deinstr - all,non-deinstr - deinstr
RokLenarcic-AhoCorasick,OK,110.571,11818.121,5.917,6.816,0,0,0,116,5,37804,2517,1046,228,11812.204,11811.305,-0.899
pebbleblog-pebble,OK,3.74,118.858,61.304,63.305,0,0,0,303,96,50543,607,18824,599,57.554,55.553,-2.001
f4b6a3-uuid-creator,OK,23.062,44.015,20.55,22.624,0,0,0,496,57,603052,209,300344,199,23.465,21.391,-2.074
LiveRamp-HyperMinHash-java,OK,98.096,177.15,33.828,51.871,1,1,1,22,5,33219021,78,1530816,61,143.322,125.279,-18.043
davidmoten-bplustree,OK,15.621,145.46,79.338,86.379,6,6,6,93,25,63527234,191,31707294,135,66.122,59.081,-7.041
JetBrains-jetCheck,OK,3.414,31.545,13.21,18.705,3,3,3,54,16,7921019,1697,3043494,765,18.335,12.84,-5.495
davidmoten-sparse-hilbert-index,OK,3.975,8315.62,2981.403,13.989,3,2,2,63,33,2943,227,1278,219,5334.217,8301.631,2967.414
albfernandez-javadbf,OK,6.695,33.747,20.809,26.466,3,3,3,154,57,137690,278,119340,201,12.938,7.281,-5.657
palindromicity-simple-syslog,OK,2.465,33.944,15.233,15.427,3,3,2,48,15,11170170,2463,247482,1570,18.711,18.517,-0.194
almson-almson-refcount,OK,9.776,56.316,33.951,35.809,0,0,0,5,3,5000332,27,5000217,20,22.365,20.507,-1.858
spotify-trickle,OK,1.812,24.724,22.823,22.205,18,18,19,63,47,11417,1159,10966,1148,1.901,2.519,0.618
Sweetiee-yi-Jaba,OK,5.867,114.526,113.844,106.545,2,2,2,6,4,22132246,4974,16202934,4804,0.682,7.981,7.299
StarlangSoftware-TurkishPropBank,OK,2.288,39.999,32.209,32.006,0,0,0,10,7,36922618,96,24952965,96,7.79,7.993,0.203
sangupta-bloomfilter,OK,12.746,27.487,22.084,27.481,1,1,1,5,4,2000126,28,2000126,28,5.403,0.006,-5.397
apache-xmlgraphics-commons,OK,6.856,61.59,57.844,60.139,22,22,25,206,91,1126320,3584,1003940,3451,3.746,1.451,-2.295
danieldk-dictomaton,OK,6.26,167.368,107.355,116.17,24,24,24,221,83,42767655,13852,27468721,11761,60.013,51.198,-8.815
graphstream-gs-core,OK,10.385,67.504,61.986,74.446,4,4,4,149,53,6500033,829,6485316,780,5.518,-6.942,-12.46
AAA-AA-basic-tools,OK,19.177,25.712,23.931,24.28,1,1,1,18,8,1000195,44,1000161,40,1.781,1.432,-0.349
cowtowncoder-java-uuid-generator,OK,3.888,46.336,37.275,46.849,2,2,2,66,23,20836710,135,20548443,129,9.061,-0.513,-9.574
hazelcast-hazelcast-aws,OK,21.954,99.392,91.828,90.825,38,38,38,100,58,269705,2955,121492,2948,7.564,8.567,1.003
dernasherbrezon-jradio,OK,9.865,255.436,98.585,98.395,33,33,33,647,242,26579886,7456,7555273,3332,156.851,157.041,0.19
